year,category,area_ha,category_type,province
2006,Fruit Mix,117.72249000000001,plantations,Sulawesi Tengah
2006,Fruit,1181.68273,plantations,Sulawesi Tengah
2006,Oil palm mix,183.45507999999998,plantations,Sulawesi Tengah
2007,Rubber,57.36114,plantations,Sulawesi Tengah
2007,Wood fiber / timber,0.76892,plantations,Sulawesi Tengah
2007,Unknown,65.07279,plantations,Sulawesi Tengah
2007,Recently cleared,88.40409,plantations,Sulawesi Tengah
2007,Fruit,759.37646,plantations,Sulawesi Tengah
2007,Oil palm mix,252.77455,plantations,Sulawesi Tengah
2007,Fruit Mix,118.18965,plantations,Sulawesi Tengah
2007,Other,9.07321,plantations,Sulawesi Tengah
2007,Oil palm,2746.25617,plantations,Sulawesi Tengah
2008,Fruit,517.0881899999999,plantations,Sulawesi Tengah
2008,Fruit Mix,29.83548,plantations,Sulawesi Tengah
2008,Oil palm,5071.34353,plantations,Sulawesi Tengah
2008,Oil palm mix,182.20899,plantations,Sulawesi Tengah
2008,Other,13.22536,plantations,Sulawesi Tengah
2008,Recently cleared,195.41568,plantations,Sulawesi Tengah
2008,Rubber,24.45153,plantations,Sulawesi Tengah
2008,Rubber mix,0.61513,plantations,Sulawesi Tengah
2008,Unknown,21.766669999999998,plantations,Sulawesi Tengah
2009,Fruit Mix,126.94923,plantations,Sulawesi Tengah
2009,Wood fiber / timber,13.14847,plantations,Sulawesi Tengah
2009,Unknown,63.99004,plantations,Sulawesi Tengah
2009,Rubber mix,2.15297,plantations,Sulawesi Tengah
2009,Rubber,69.27934,plantations,Sulawesi Tengah
2009,Fruit,2703.81992,plantations,Sulawesi Tengah
2009,Other,18.91534,plantations,Sulawesi Tengah
2009,Oil palm mix,420.95271,plantations,Sulawesi Tengah
2009,Oil palm,10002.592779999999,plantations,Sulawesi Tengah
2009,Recently cleared,2314.2563,plantations,Sulawesi Tengah
2010,Rubber,65.35787,plantations,Sulawesi Tengah
2010,Unknown,31.99953,plantations,Sulawesi Tengah
2010,Rubber mix,3.99836,plantations,Sulawesi Tengah
2010,Wood fiber / timber,0.76892,plantations,Sulawesi Tengah
2010,Recently cleared,752.07333,plantations,Sulawesi Tengah
2010,Oil palm mix,413.6682,plantations,Sulawesi Tengah
2010,Oil palm,4378.43343,plantations,Sulawesi Tengah
2010,Fruit Mix,80.3614,plantations,Sulawesi Tengah
2010,Fruit,1046.64622,plantations,Sulawesi Tengah
2010,Other,4.6135,plantations,Sulawesi Tengah
2011,Unknown,82.06598,plantations,Sulawesi Tengah
2011,Rubber mix,5.4593,plantations,Sulawesi Tengah
2011,Rubber,77.89121,plantations,Sulawesi Tengah
2011,Recently cleared,852.83254,plantations,Sulawesi Tengah
2011,Wood fiber / timber,1.69162,plantations,Sulawesi Tengah
2011,Oil palm mix,513.50156,plantations,Sulawesi Tengah
2011,Oil palm,4272.22083,plantations,Sulawesi Tengah
2011,Fruit Mix,116.3579,plantations,Sulawesi Tengah
2011,Fruit,1123.50596,plantations,Sulawesi Tengah
2011,Other,25.45112,plantations,Sulawesi Tengah
2012,Wood fiber / timber,3.53701,plantations,Sulawesi Tengah
2012,Unknown,38.38086,plantations,Sulawesi Tengah
2012,Rubber mix,0.84581,plantations,Sulawesi Tengah
2012,Rubber,68.7411,plantations,Sulawesi Tengah
2012,Recently cleared,2063.9513699999998,plantations,Sulawesi Tengah
2012,Other,13.99427,plantations,Sulawesi Tengah
2012,Oil palm,10097.38442,plantations,Sulawesi Tengah
2012,Fruit Mix,205.75459,plantations,Sulawesi Tengah
2012,Fruit,1438.0143600000001,plantations,Sulawesi Tengah
2012,Oil palm mix,660.1185800000001,plantations,Sulawesi Tengah
2013,Rubber mix,0.69202,plantations,Sulawesi Tengah
2013,Wood fiber / timber,0.46135,plantations,Sulawesi Tengah
2013,Unknown,13.99926,plantations,Sulawesi Tengah
2013,Rubber,91.57792,plantations,Sulawesi Tengah
2013,Recently cleared,6478.48642,plantations,Sulawesi Tengah
2013,Other,7.45849,plantations,Sulawesi Tengah
2013,Oil palm mix,936.69811,plantations,Sulawesi Tengah
2013,Oil palm,5949.46686,plantations,Sulawesi Tengah
2013,Fruit Mix,106.75727,plantations,Sulawesi Tengah
2013,Fruit,687.47726,plantations,Sulawesi Tengah
2014,Unknown,22.3047,plantations,Sulawesi Tengah
2014,Rubber mix,2.38364,plantations,Sulawesi Tengah
2014,Rubber,15.83968,plantations,Sulawesi Tengah
2014,Recently cleared,4769.2374,plantations,Sulawesi Tengah
2014,Wood fiber / timber,0.23067,plantations,Sulawesi Tengah
2014,Oil palm mix,474.64627,plantations,Sulawesi Tengah
2014,Oil palm,2520.69804,plantations,Sulawesi Tengah
2014,Fruit Mix,124.75601,plantations,Sulawesi Tengah
2014,Fruit,2255.36458,plantations,Sulawesi Tengah
2014,Other,33.37096,plantations,Sulawesi Tengah
2015,Wood fiber / timber,12.68712,plantations,Sulawesi Tengah
2015,Unknown,31.610549999999996,plantations,Sulawesi Tengah
2015,Rubber mix,3.38323,plantations,Sulawesi Tengah
2015,Rubber,32.60205,plantations,Sulawesi Tengah
2015,Recently cleared,823.4309300000001,plantations,Sulawesi Tengah
2015,Other,56.59222,plantations,Sulawesi Tengah
2015,Oil palm,1634.92059,plantations,Sulawesi Tengah
2015,Fruit Mix,158.43243,plantations,Sulawesi Tengah
2015,Fruit,3537.13793,plantations,Sulawesi Tengah
2015,Oil palm mix,436.96191,plantations,Sulawesi Tengah
2016,Rubber,64.58896,plantations,Sulawesi Tengah
2016,Wood fiber / timber,3.53701,plantations,Sulawesi Tengah
2016,Unknown,19.30649,plantations,Sulawesi Tengah
2016,Rubber mix,3.30634,plantations,Sulawesi Tengah
2016,Other,51.67116,plantations,Sulawesi Tengah
2016,Oil palm,1645.4920299999999,plantations,Sulawesi Tengah
2016,Oil palm mix,344.19571,plantations,Sulawesi Tengah
2016,Fruit Mix,198.75825,plantations,Sulawesi Tengah
2016,Fruit,2144.61805,plantations,Sulawesi Tengah
2016,Recently cleared,216.14091,plantations,Sulawesi Tengah
2017,Wood fiber / timber,31.37178,plantations,Sulawesi Tengah
2017,Rubber mix,7.07403,plantations,Sulawesi Tengah
2017,Rubber,25.29735,plantations,Sulawesi Tengah
2017,Recently cleared,102.74446,plantations,Sulawesi Tengah
2017,Unknown,26.23084,plantations,Sulawesi Tengah
2017,Oil palm mix,567.52801,plantations,Sulawesi Tengah
2017,Oil palm,1423.0181400000001,plantations,Sulawesi Tengah
2017,Fruit Mix,100.66616,plantations,Sulawesi Tengah
2017,Fruit,2317.78107,plantations,Sulawesi Tengah
2017,Other,14.30184,plantations,Sulawesi Tengah
2018,Wood fiber / timber,9.07321,plantations,Sulawesi Tengah
2018,Fruit,2543.01768,plantations,Sulawesi Tengah
2018,Fruit Mix,108.51195000000001,plantations,Sulawesi Tengah
2018,Oil palm,3591.99708,plantations,Sulawesi Tengah
2018,Oil palm mix,454.06451,plantations,Sulawesi Tengah
2018,Other,13.7636,plantations,Sulawesi Tengah
2018,Recently cleared,105.69204,plantations,Sulawesi Tengah
2018,Rubber,12.07198,plantations,Sulawesi Tengah
2018,Rubber mix,5.07485,plantations,Sulawesi Tengah
2018,Unknown,34.69308,plantations,Sulawesi Tengah
2019,Unknown,102.07897,plantations,Sulawesi Tengah
2019,Rubber mix,3.6908,plantations,Sulawesi Tengah
2019,Rubber,16.070349999999998,plantations,Sulawesi Tengah
2019,Wood fiber / timber,5.68998,plantations,Sulawesi Tengah
2019,Recently cleared,177.9481,plantations,Sulawesi Tengah
2019,Other,13.07157,plantations,Sulawesi Tengah
2019,Oil palm mix,554.91088,plantations,Sulawesi Tengah
2019,Oil palm,3223.1440199999997,plantations,Sulawesi Tengah
2019,Fruit Mix,156.19067,plantations,Sulawesi Tengah
2019,Fruit,3808.38119,plantations,Sulawesi Tengah
2020,Wood fiber / timber,1.53783,plantations,Sulawesi Tengah
2020,Unknown,111.92864,plantations,Sulawesi Tengah
2020,Rubber mix,2.61432,plantations,Sulawesi Tengah
2020,Rubber,18.91534,plantations,Sulawesi Tengah
2020,Recently cleared,70.03441,plantations,Sulawesi Tengah
2020,Oil palm mix,242.12342999999998,plantations,Sulawesi Tengah
2020,Oil palm,4361.83582,plantations,Sulawesi Tengah
2020,Fruit Mix,80.7398,plantations,Sulawesi Tengah
2020,Fruit,1005.10888,plantations,Sulawesi Tengah
2020,Other,10.30348,plantations,Sulawesi Tengah
2021,Rubber,34.524339999999995,plantations,Sulawesi Tengah
2021,Wood fiber / timber,5.76687,plantations,Sulawesi Tengah
2021,Unknown,142.23745,plantations,Sulawesi Tengah
2021,Rubber mix,2.15297,plantations,Sulawesi Tengah
2021,Recently cleared,37.362770000000005,plantations,Sulawesi Tengah
2021,Fruit,980.73646,plantations,Sulawesi Tengah
2021,Oil palm mix,274.77433,plantations,Sulawesi Tengah
2021,Oil palm,1154.67969,plantations,Sulawesi Tengah
2021,Fruit Mix,45.06056,plantations,Sulawesi Tengah
2021,Other,12.8409,plantations,Sulawesi Tengah
2022,Rubber,34.60123,plantations,Sulawesi Tengah
2022,Wood fiber / timber,43.90511,plantations,Sulawesi Tengah
2022,Unknown,149.92822,plantations,Sulawesi Tengah
2022,Rubber mix,2.53742,plantations,Sulawesi Tengah
2022,Recently cleared,66.55363,plantations,Sulawesi Tengah
2022,Other,10.22658,plantations,Sulawesi Tengah
2022,Oil palm mix,243.96723,plantations,Sulawesi Tengah
2022,Oil palm,955.7848299999999,plantations,Sulawesi Tengah
2022,Fruit Mix,119.03328,plantations,Sulawesi Tengah
2022,Fruit,1195.21562,plantations,Sulawesi Tengah
2023,Unknown,56.53565,plantations,Sulawesi Tengah
2023,Rubber mix,5.5362,plantations,Sulawesi Tengah
2023,Rubber,80.50553000000001,plantations,Sulawesi Tengah
2023,Recently cleared,178.04287,plantations,Sulawesi Tengah
2023,Wood fiber / timber,3.30634,plantations,Sulawesi Tengah
2023,Oil palm mix,494.75875,plantations,Sulawesi Tengah
2023,Oil palm,1926.25691,plantations,Sulawesi Tengah
2023,Fruit Mix,201.92038,plantations,Sulawesi Tengah
2023,Fruit,3734.4305400000003,plantations,Sulawesi Tengah
2023,Other,23.14437,plantations,Sulawesi Tengah
2024,Wood fiber / timber,23.68262,plantations,Sulawesi Tengah
2024,Unknown,48.53896,plantations,Sulawesi Tengah
2024,Rubber mix,2.69121,plantations,Sulawesi Tengah
2024,Rubber,134.40654,plantations,Sulawesi Tengah
2024,Recently cleared,204.32962,plantations,Sulawesi Tengah
2024,Other,21.29898,plantations,Sulawesi Tengah
2024,Oil palm,1906.96461,plantations,Sulawesi Tengah
2024,Fruit Mix,130.64003,plantations,Sulawesi Tengah
2024,Fruit,919.46037,plantations,Sulawesi Tengah
2024,Oil palm mix,265.36064999999996,plantations,Sulawesi Tengah
2025,Recently cleared,211.27449000000001,plantations,Sulawesi Tengah
2025,Rubber mix,4.76728,plantations,Sulawesi Tengah
2025,Rubber,194.07444,plantations,Sulawesi Tengah
2025,Other,19.2229,plantations,Sulawesi Tengah
2025,Unknown,26.07698,plantations,Sulawesi Tengah
2025,Oil palm,2212.86501,plantations,Sulawesi Tengah
2025,Fruit Mix,69.97273,plantations,Sulawesi Tengah
2025,Fruit,1218.28018,plantations,Sulawesi Tengah
2025,Oil palm mix,256.42152999999996,plantations,Sulawesi Tengah
2025,Wood fiber / timber,683.87405,plantations,Sulawesi Tengah
2001,0,19610.22212,protected_areas,Sulawesi Selatan
2001,1,1140.0610100000001,protected_areas,Sulawesi Selatan
2001,2,78.17788,protected_areas,Sulawesi Selatan
2002,0,23905.52971,protected_areas,Sulawesi Selatan
2002,1,1040.9479,protected_areas,Sulawesi Selatan
2002,2,90.049,protected_areas,Sulawesi Selatan
