umd_tree_cover_loss__year,esa_land_cover_2015__class,area__ha,province,year
2012,Water,352.37847,Sulawesi Selatan,2012.0
2013,Agriculture,19519.096129999998,Sulawesi Selatan,2013.0
2013,Forest,83.35843,Sulawesi Selatan,2013.0
2013,Grassland,248.54981,Sulawesi Selatan,2013.0
2013,Settlement,5.21841,Sulawesi Selatan,2013.0
2013,Water,163.17112,Sulawesi Selatan,2013.0
2014,Agriculture,44733.99875,Sulawesi Selatan,2014.0
2014,Forest,258.97289,Sulawesi Selatan,2014.0
2014,Grassland,620.38319,Sulawesi Selatan,2014.0
2014,Settlement,9.66291,Sulawesi Selatan,2014.0
2014,Water,282.88424,Sulawesi Selatan,2014.0
2015,Agriculture,52895.1563,Sulawesi Selatan,2015.0
2015,Forest,382.65436,Sulawesi Selatan,2015.0
2015,Grassland,598.79294,Sulawesi Selatan,2015.0
2015,Settlement,8.52356,Sulawesi Selatan,2015.0
2015,Water,385.55484,Sulawesi Selatan,2015.0
2016,Agriculture,54748.11613,Sulawesi Selatan,2016.0
2016,Forest,304.13267,Sulawesi Selatan,2016.0
2016,Grassland,840.6900899999999,Sulawesi Selatan,2016.0
2016,Settlement,4.91394,Sulawesi Selatan,2016.0
2016,Water,381.40399,Sulawesi Selatan,2016.0
2017,Agriculture,37572.090729999996,Sulawesi Selatan,2017.0
2017,Forest,202.90394999999998,Sulawesi Selatan,2017.0
2017,Grassland,500.62766,Sulawesi Selatan,2017.0
2017,Settlement,7.2129900000000005,Sulawesi Selatan,2017.0
2017,Water,199.1935,Sulawesi Selatan,2017.0
2018,Agriculture,32043.1881,Sulawesi Selatan,2018.0
2018,Forest,183.31011999999998,Sulawesi Selatan,2018.0
2018,Grassland,477.58953,Sulawesi Selatan,2018.0
2018,Settlement,4.75186,Sulawesi Selatan,2018.0
2018,Water,212.77979,Sulawesi Selatan,2018.0
2019,Agriculture,46237.97541,Sulawesi Selatan,2019.0
2019,Forest,162.1955,Sulawesi Selatan,2019.0
2019,Grassland,458.59574,Sulawesi Selatan,2019.0
2019,Settlement,28.564639999999997,Sulawesi Selatan,2019.0
2019,Water,262.57132,Sulawesi Selatan,2019.0
2020,Agriculture,23610.53257,Sulawesi Selatan,2020.0
2020,Forest,94.45304,Sulawesi Selatan,2020.0
2020,Grassland,198.62493,Sulawesi Selatan,2020.0
2020,Settlement,3.67962,Sulawesi Selatan,2020.0
2020,Water,174.61317,Sulawesi Selatan,2020.0
2021,Agriculture,18453.39064,Sulawesi Selatan,2021.0
2021,Forest,100.54853,Sulawesi Selatan,2021.0
2021,Grassland,235.15696000000003,Sulawesi Selatan,2021.0
2021,Settlement,2.30337,Sulawesi Selatan,2021.0
2021,Water,163.33347,Sulawesi Selatan,2021.0
2022,Agriculture,24650.69981,Sulawesi Selatan,2022.0
2022,Forest,86.54069000000001,Sulawesi Selatan,2022.0
2022,Grassland,299.87379999999996,Sulawesi Selatan,2022.0
2022,Settlement,14.43589,Sulawesi Selatan,2022.0
2022,Water,191.5326,Sulawesi Selatan,2022.0
2023,Agriculture,51017.20994,Sulawesi Selatan,2023.0
2023,Forest,184.64616999999998,Sulawesi Selatan,2023.0
2023,Grassland,583.53624,Sulawesi Selatan,2023.0
2023,Settlement,42.18169,Sulawesi Selatan,2023.0
2023,Water,467.26252,Sulawesi Selatan,2023.0
2024,Agriculture,20456.0665,Sulawesi Selatan,2024.0
2024,Forest,87.57087,Sulawesi Selatan,2024.0
2024,Grassland,239.79998999999998,Sulawesi Selatan,2024.0
2024,Settlement,7.816590000000001,Sulawesi Selatan,2024.0
