umd_tree_cover_loss__year,wdpa_protected_areas__iucn_cat,area__ha,province,year
2008,2,85.63786999999999,Sulawesi Selatan,2008.0
2009,0,45162.01972,Sulawesi Selatan,2009.0
2009,1,759.89977,Sulawesi Selatan,2009.0
2009,2,201.87801,Sulawesi Selatan,2009.0
2010,0,15846.77032,Sulawesi Selatan,2010.0
2010,1,257.13176,Sulawesi Selatan,2010.0
2010,2,54.03201,Sulawesi Selatan,2010.0
2011,0,34126.51105,Sulawesi Selatan,2011.0
2011,1,612.0212200000001,Sulawesi Selatan,2011.0
2011,2,193.97591,Sulawesi Selatan,2011.0
2012,0,38087.27194,Sulawesi Selatan,2012.0
2012,1,447.26398000000006,Sulawesi Selatan,2012.0
2012,2,120.32143,Sulawesi Selatan,2012.0
2013,0,27850.54103,Sulawesi Selatan,2013.0
2013,1,482.37377000000004,Sulawesi Selatan,2013.0
2013,2,79.18605,Sulawesi Selatan,2013.0
2014,0,64860.37693,Sulawesi Selatan,2014.0
2014,1,738.7422399999999,Sulawesi Selatan,2014.0
2014,2,185.69677000000001,Sulawesi Selatan,2014.0
2015,0,72730.39506,Sulawesi Selatan,2015.0
2015,1,1039.54461,Sulawesi Selatan,2015.0
2015,2,246.89860000000002,Sulawesi Selatan,2015.0
2016,0,69164.03188,Sulawesi Selatan,2016.0
2016,1,1560.83223,Sulawesi Selatan,2016.0
2016,2,416.13145,Sulawesi Selatan,2016.0
2017,0,52295.5365,Sulawesi Selatan,2017.0
2017,1,790.23134,Sulawesi Selatan,2017.0
2017,2,441.3629,Sulawesi Selatan,2017.0
2018,0,46089.09826,Sulawesi Selatan,2018.0
2018,1,408.37824,Sulawesi Selatan,2018.0
2018,2,172.98633,Sulawesi Selatan,2018.0
2019,0,66209.20748,Sulawesi Selatan,2019.0
2019,1,927.6033500000001,Sulawesi Selatan,2019.0
2019,2,287.36948,Sulawesi Selatan,2019.0
2020,0,32877.564790000004,Sulawesi Selatan,2020.0
2020,1,340.20213,Sulawesi Selatan,2020.0
2020,2,381.53866999999997,Sulawesi Selatan,2020.0
2021,0,25386.42208,Sulawesi Selatan,2021.0
2021,1,284.62864,Sulawesi Selatan,2021.0
2021,2,236.62081,Sulawesi Selatan,2021.0
2022,0,35790.75574,Sulawesi Selatan,2022.0
2022,1,256.33023,Sulawesi Selatan,2022.0
2022,2,188.28428,Sulawesi Selatan,2022.0
2023,0,77996.62327,Sulawesi Selatan,2023.0
2023,1,929.52705,Sulawesi Selatan,2023.0
2023,2,267.91663,Sulawesi Selatan,2023.0
2024,0,28814.486,Sulawesi Selatan,2024.0
2024,1,269.57302,Sulawesi Selatan,2024.0
2024,2,122.95679,Sulawesi Selatan,2024.0
2025,0,42695.11128,Sulawesi Selatan,2025.0
2025,1,434.49609,Sulawesi Selatan,2025.0
2025,2,181.79783,Sulawesi Selatan,2025.0
null,0,21152195.37027,Sulawesi Selatan,
null,1,793274.8535199999,Sulawesi Selatan,
null,2,630207.2662,Sulawesi Selatan,
2001,0,14114.08786,Sulawesi Tenggara,2001.0
2001,1,1015.60803,Sulawesi Tenggara,2001.0
2001,2,237.31459,Sulawesi Tenggara,2001.0
2002,0,14460.61796,Sulawesi Tenggara,2002.0
2002,1,695.63508,Sulawesi Tenggara,2002.0
2002,2,407.52444,Sulawesi Tenggara,2002.0
2003,0,10814.7978,Sulawesi Tenggara,2003.0
2003,1,2079.7801200000004,Sulawesi Tenggara,2003.0
2003,2,256.82184,Sulawesi Tenggara,2003.0
2004,0,36550.84054,Sulawesi Tenggara,2004.0
2004,1,3579.1391999999996,Sulawesi Tenggara,2004.0
2004,2,268.69524,Sulawesi Tenggara,2004.0
2005,0,15447.56951,Sulawesi Tenggara,2005.0
2005,1,581.6409199999999,Sulawesi Tenggara,2005.0
2005,2,285.36508999999995,Sulawesi Tenggara,2005.0
2006,0,41312.730540000004,Sulawesi Tenggara,2006.0
2006,1,1939.2308400000002,Sulawesi Tenggara,2006.0
2006,2,722.34715,Sulawesi Tenggara,2006.0
2007,0,9233.57237,Sulawesi Tenggara,2007.0
2007,1,350.35036,Sulawesi Tenggara,2007.0
2007,2,81.43892,Sulawesi Tenggara,2007.0
2008,0,8289.10674,Sulawesi Tenggara,2008.0
2008,1,219.01353999999998,Sulawesi Tenggara,2008.0
2008,2,78.06294000000001,Sulawesi Tenggara,2008.0
2009,0,28535.13815,Sulawesi Tenggara,2009.0
2009,1,667.1006299999999,Sulawesi Tenggara,2009.0
2009,2,367.91446,Sulawesi Tenggara,2009.0
2010,0,7071.952670000001,Sulawesi Tenggara,2010.0
2010,1,155.19102,Sulawesi Tenggara,2010.0
2010,2,58.44388,Sulawesi Tenggara,2010.0
2011,0,22325.63525,Sulawesi Tenggara,2011.0
2011,1,556.24902,Sulawesi Tenggara,2011.0
2011,2,211.01044000000002,Sulawesi Tenggara,2011.0
2012,0,22346.00056,Sulawesi Tenggara,2012.0
2012,1,375.20426000000003,Sulawesi Tenggara,2012.0
2012,2,213.48554,Sulawesi Tenggara,2012.0
2013,0,17313.98342,Sulawesi Tenggara,2013.0
2013,1,428.21374000000003,Sulawesi Tenggara,2013.0
2013,2,127.97606999999999,Sulawesi Tenggara,2013.0
2014,0,46565.43771,Sulawesi Tenggara,2014.0
2014,1,636.71653,Sulawesi Tenggara,2014.0
2014,2,409.17702999999995,Sulawesi Tenggara,2014.0
2015,0,46838.01986,Sulawesi Tenggara,2015.0
2015,1,931.98758,Sulawesi Tenggara,2015.0
2015,2,327.22559,Sulawesi Tenggara,2015.0
2016,0,38242.671389999996,Sulawesi Tenggara,2016.0
2016,1,999.64578,Sulawesi Tenggara,2016.0
2016,2,390.56113,Sulawesi Tenggara,2016.0
2017,0,28680.40477,Sulawesi Tenggara,2017.0
2017,1,566.22022,Sulawesi Tenggara,2017.0
2017,2,403.93389,Sulawesi Tenggara,2017.0
2018,0,27504.10203,Sulawesi Tenggara,2018.0
2018,1,329.71414000000004,Sulawesi Tenggara,2018.0
2018,2,216.59391,Sulawesi Tenggara,2018.0
2019,0,40265.05939,Sulawesi Tenggara,2019.0
2019,1,554.2527699999999,Sulawesi Tenggara,2019.0
2019,2,340.61511,Sulawesi Tenggara,2019.0
2020,0,19988.06188,Sulawesi Tenggara,2020.0
2020,1,244.94555,Sulawesi Tenggara,2020.0
2020,2,492.81179,Sulawesi Tenggara,2020.0
2021,0,13424.67582,Sulawesi Tenggara,2021.0
2021,1,213.56886999999998,Sulawesi Tenggara,2021.0
2021,2,151.78857,Sulawesi Tenggara,2021.0
2022,0,14277.4279,Sulawesi Tenggara,2022.0
2022,1,179.35593,Sulawesi Tenggara,2022.0
2022,2,85.04599,Sulawesi Tenggara,2022.0
2023,0,42918.74535,Sulawesi Tenggara,2023.0
2023,1,826.05119,Sulawesi Tenggara,2023.0
2023,2,182.39476000000002,Sulawesi Tenggara,2023.0
2024,0,19338.561560000002,Sulawesi Tenggara,2024.0
2024,1,213.18687,Sulawesi Tenggara,2024.0
2024,2,93.02324,Sulawesi Tenggara,2024.0
2025,0,27567.36491,Sulawesi Tenggara,2025.0
2025,1,332.62568999999996,Sulawesi Tenggara,2025.0
2025,2,136.21797,Sulawesi Tenggara,2025.0
null,0,10381823.71074,Sulawesi Tenggara,
null,1,884097.4819,Sulawesi Tenggara,
null,2,979820.33526,Sulawesi Tenggara,
2001,0,4118.14616,Gorontalo,2001.0
2001,1,90.00487000000001,Gorontalo,2001.0
2001,2,3.15402,Gorontalo,2001.0
2002,0,8668.93115,Gorontalo,2002.0
2002,1,255.09074,Gorontalo,2002.0
2002,2,9.538969999999999,Gorontalo,2002.0
2003,0,3177.78754,Gorontalo,2003.0
2003,1,138.16133000000002,Gorontalo,2003.0
2003,2,6.61574,Gorontalo,2003.0
2004,0,7199.236150000001,Gorontalo,2004.0
2004,1,178.54813000000001,Gorontalo,2004.0
2004,2,3.2309400000000004,Gorontalo,2004.0
2005,0,4618.48096,Gorontalo,2005.0
2005,1,257.39856,Gorontalo,2005.0
2005,2,12.00065,Gorontalo,2005.0
2006,0,5462.14205,Gorontalo,2006.0
2006,1,175.47104,Gorontalo,2006.0
2006,2,4.231,Gorontalo,2006.0
2007,0,4375.16008,Gorontalo,2007.0
2007,1,323.09442,Gorontalo,2007.0
2007,2,12.46221,Gorontalo,2007.0
2008,0,1828.79137,Gorontalo,2008.0
2008,1,137.31513,Gorontalo,2008.0
2008,2,1.23084,Gorontalo,2008.0
2009,0,10998.13425,Gorontalo,2009.0
2009,1,519.64354,Gorontalo,2009.0
2009,2,29.84777,Gorontalo,2009.0
2010,0,1689.32228,Gorontalo,2010.0
