nama_perusahaan,lokasi,luas_ha,dork_query,pdf_title,pdf_link,pdf_snippet
TRIO KENCANA,KAB. PARIGI MOUTONG,15725.0,"""TRIO KENCANA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TLH 2025.cdr - WALHI,https://www.walhi.or.id/uploads/2024-Rilis/TLH%202025%20rev.pdf,"diawali Amdal. Kedua, pelaksanaan proyek ... Mengubah lampiran PP No. 101 tahun 2014 tentang. Pengelolaan Limbah Bahan Berbahaya dan Beracun (limbah. B3)."
TRIO KENCANA,KAB. PARIGI MOUTONG,15725.0,"""TRIO KENCANA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf","jatam, 2020 - Jaringan Advokasi Tambang",https://jatam.org/wp-content/uploads/2021/07/Laporan-JATAM-Catatan-Akhir-Tahun-2020-dan-Proyeksi-2021.pdf,"Sebelumnya, perusahaan yang pernah menggunakan sistem pembuangan limbah tambang yang seperti ini dengan nama Submarine Tailing Disposal (STD)- adalah PT Newmont ..."
MASMINDO DWI AREA,KAB. LUWU,14390.0,"""MASMINDO DWI AREA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",Preparing to Unlock Value - PT Masmindo Dwi Area,https://admin.masmindo.co.id/storage/annual-report/eccb5ee7-26c2-4752-a5af-0449d3c7602e.pdf,"Berdasarkan Adendum AMDAL yang disetujui, Perusahaan menerima Izin Lingkungan baru pada Oktober 2019. ... dan pembuangan limbah. Sepanjang tahun ini, Perusahaan ..."
MASMINDO DWI AREA,KAB. LUWU,14390.0,"""MASMINDO DWI AREA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",2021 DFS UPDATE – AWAK MAS GOLD PROJECT,https://minedocs.com/28/Awak-Mas-DFS-07132021.pdf,"Jul 13, 2021 ... AISC includes C1 costs, royalties, PT Masmindo Dwi Area corporate overheads, ... • AMDAL and Environmental Permit – The approved AMDAL and."
MASMINDO DWI AREA,KAB. LUWU,14390.0,"""MASMINDO DWI AREA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",annual report 2020 - PT Masmindo Dwi Area,https://admin.masmindo.co.id/storage/annual-report/5fa66955-8417-49ec-9d6a-8ff6bea69ac5.pdf,"Perencanaan Tambang sedang dilakukan oleh. AMC, Survei Lokasi dilakukan oleh Tigenco, dan Fasilitas. Penyimpanan Tailing FEED sedang dikerjakan oleh. Coffey."
CELEBES BONE MINERAL,KAB. BONE BOLANGO,13195.0,"""CELEBES BONE MINERAL"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
TRINUSA RESOURCES,KAB. SINJAI,11326.0,"""TRINUSA RESOURCES"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",LAPORAN KINERJA - Kemenko Bidang Kemaritiman dan Investasi,http://www.maritim.go.id/uploads/magazine/20240706051614-2024-07-06magazine051604.pdf,"Jul 6, 2024 ... Prasarana, Penanganan Darurat, Penanganan Limbah B-3 dan Keamanan. ... Percepatan pengurusan AMDAL; 6). RDMP Dumai adalah Belum didapatkan ..."
MULTI DINAR KARYA,KAB. TOJO UNA-UNA,10800.0,"""MULTI DINAR KARYA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",Complementary Strategies for Indonesia's Sustainable Nickel ...,https://lpem.org/wp-content/uploads/2025/06/Final_NRGI-Policy-Paper.pdf,"Perkasa, Bukit Makmur Istindo Nikel, Multi Dinar Karya, Pertambangan ... AMDAL, Environmental Approval, or IUP involved requests for mining sector AMDAL."
MULTI DINAR KARYA,KAB. TOJO UNA-UNA,10800.0,"""MULTI DINAR KARYA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",Neo-extractivism in Indonesia's Nickel Epicenter - Satya Bumi,https://satyabumi.org/wp-content/uploads/2023/11/ENG_policy-paper_Neo-extractivism-in-Indonesias-Nickel-Epicenter.pdf,"In relation to mining,. Government Regulation Number 22 of 2021 allows miners to dispose of waste into the deep sea using the Deep-Sea Tailing Placement (DSTP) ..."
MULTI DINAR KARYA,KAB. TOJO UNA-UNA,10800.0,"""MULTI DINAR KARYA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",Policy-Paper-Neo-ekstraktivisme-di-Episentrum-Nikel-Indonesia-2.pdf,https://satyabumi.org/wp-content/uploads/2023/10/Policy-Paper-Neo-ekstraktivisme-di-Episentrum-Nikel-Indonesia-2.pdf,"Oct 11, 2023 ... Jebolnya bendungan tailing Vale di Brasil pada tahun. 2019 menyebabkan 270 korban jiwa. Sebuah bendungan yang menampung limbah Kawasan. Industri ..."
