nama_perusahaan,lokasi,luas_ha,dork_query,pdf_title,pdf_link,pdf_snippet
EMBRIO INTERNASIONAL INDONESIA,KAB. PASANGKAYU,23.4,"""EMBRIO INTERNASIONAL INDONESIA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
TAKODO PERKASA,KAB. POLEWALI MANDAR,20.0,"""TAKODO PERKASA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
PASIR PUTRA UTAMA,KAB. MAMUJU TENGAH,17.25,"""PASIR PUTRA UTAMA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
PUTRA BONDE MAHATIDANA,KAB. MAJENE,16.6,"""PUTRA BONDE MAHATIDANA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
SAMUDRA PANTOLOAN,KAB. PASANGKAYU,14.0,"""SAMUDRA PANTOLOAN"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
JAYA PASIR ANDALAN,KAB. MAMUJU,13.9,"""JAYA PASIR ANDALAN"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf","Proyek Strategis Nasional, Tambang, hingga Ilusi Transisi Energi",https://aji.or.id/system/files/2026-05/cetakan-2sisi-gelap-sulawesi220426compressed.pdf,"dan pelaksanaan AMDAL serta RKL/RPL. Kedua, pemenuhan standar Izin ... Limbah tailing ini kata Fadli sangat berbahaya dan membutuhkan treatment khusus ..."
HORAS MANDIRI TO MARIO,KAB. MAJENE,10.5,"""HORAS MANDIRI TO MARIO"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
FAUZAN,KAB. PASANGKAYU,8.0,"""FAUZAN"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",Public Summary Report PT. Agro Indomas Central Kalimantan,https://rspo.org/wp-content/uploads/PT_Agro_Indomas_Sungai_Purun_POM_RSPO_PC_Public_Summary_Report.pdf,"Dec 2, 2014 ... - Dokumen lingkungan (AMDAL, UKL/UPL, DPLH), dokumen SIA, Dokumen program CSR, dokumen HCV, dokumen RKL, RPL, Laporan Limbah B3, Laporan HCS."
FAUZAN,KAB. PASANGKAYU,8.0,"""FAUZAN"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",analisis dampak lingkungan sosial terhadap aktivitas,https://eprints.umm.ac.id/9714/1/PENDAHULUAN.pdf,"Kurniawansyah, E., Fauzan, A., & Mustari, M. (2022). Dampak Sosial dan. Lingkungan Terhadap Pencemaran Limbah Pabrik. CIVICUS: Pendidikan-. Penelitian- ..."
FAUZAN,KAB. PASANGKAYU,8.0,"""FAUZAN"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",Jurnal Jendela Hukum - Open Journal Systems,https://ejournalwiraraja.com/index.php/FH/article/view/3052/2142,"Apr 1, 2024 ... dengan limbah dan dari sebagian besar masyarakat yang membuang limbah ... Kurniawansyah, Edy, Ahmad Fauzan, and Mustari. “Dampak Sosial Dan ..."
BUTTU BATU INDAH,KAB. MAMASA,7.8,"""BUTTU BATU INDAH"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
ABADI DUA PUTRI,KAB. PASANGKAYU,6.0,"""ABADI DUA PUTRI"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
INTI KONSTRUKSI ABADI,KAB. PASANGKAYU,5.8,"""INTI KONSTRUKSI ABADI"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
RAMA KARYA CIPTA,KAB. MAMUJU,5.24,"""RAMA KARYA CIPTA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
BINTANG PRATAMA PERKASA MANDIRI,KAB. PASANGKAYU,5.0,"""BINTANG PRATAMA PERKASA MANDIRI"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
TOPAZ PERKASA,KAB. MAMUJU TENGAH,3.6,"""TOPAZ PERKASA"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
IRA MANDIRI,KAB. PASANGKAYU,2.6,"""IRA MANDIRI"" ""AMDAL"" OR ""RKL-RPL"" ""limbah"" OR ""tailing"" filetype:pdf",TIDAK DITEMUKAN,,
