province,year,driver,area_ha,co2_emissions_mg,is_primary
Sulawesi Tenggara,2009,Urbanization,674.0717400000001,217881.41096,
Sulawesi Tenggara,2010,Commodity driven deforestation,78528.70173,38476952.42936,
Sulawesi Tenggara,2010,Forestry,13822.47937,8728830.97304,
Sulawesi Tenggara,2010,Shifting agriculture,169.52712,118531.18571,
Sulawesi Tenggara,2010,Unknown,34.2952,18406.1278,
Sulawesi Tenggara,2010,Urbanization,779.3253500000001,177058.43101,
Sulawesi Tenggara,2011,Commodity driven deforestation,89456.79379,48580233.361109994,
Sulawesi Tenggara,2011,Forestry,10715.62649,6801268.0741,
Sulawesi Tenggara,2011,Shifting agriculture,135.41907,99659.97340999999,
Sulawesi Tenggara,2011,Unknown,13.99323,8077.78661,
Sulawesi Tenggara,2011,Urbanization,194.92185999999998,71134.20653,
Sulawesi Tenggara,2012,Commodity driven deforestation,75482.38334,38597606.39716,
Sulawesi Tenggara,2012,Forestry,12383.43124,7942701.05867,
Sulawesi Tenggara,2012,Shifting agriculture,221.46783000000002,164232.80534,
Sulawesi Tenggara,2012,Unknown,18.07199,10436.443870000001,
Sulawesi Tenggara,2012,Urbanization,1144.48826,193180.20967,
Sulawesi Tenggara,2013,Commodity driven deforestation,46698.16008,20506909.28812,
Sulawesi Tenggara,2013,Forestry,6385.69016,4018884.2388400002,
Sulawesi Tenggara,2013,Shifting agriculture,125.05327,93171.55049000001,
Sulawesi Tenggara,2013,Unknown,17.83828,9461.27835,
Sulawesi Tenggara,2013,Urbanization,48.46381,19499.43686,
Sulawesi Tenggara,2014,Commodity driven deforestation,69946.53699,34799178.05984,
Sulawesi Tenggara,2014,Forestry,14883.665,8887572.730220001,
Sulawesi Tenggara,2014,Shifting agriculture,177.99955,129180.97149,
Sulawesi Tenggara,2014,Unknown,29.90791,16433.59942,
Sulawesi Tenggara,2014,Urbanization,431.65652,160306.24185,
Sulawesi Tenggara,2015,Commodity driven deforestation,44999.15647,22125945.9531,
Sulawesi Tenggara,2015,Forestry,7677.61561,4917335.03816,
Sulawesi Tenggara,2015,Shifting agriculture,138.34945,97317.86426,
Sulawesi Tenggara,2015,Unknown,9.14683,5394.23387,
Sulawesi Tenggara,2015,Urbanization,154.91031,49980.62851,
Sulawesi Tenggara,2016,Commodity driven deforestation,63332.09155,29448465.32969,
Sulawesi Tenggara,2016,Forestry,15267.44487,9058472.92879,
Sulawesi Tenggara,2016,Shifting agriculture,261.45058,169787.6417,
Sulawesi Tenggara,2016,Unknown,33.82192,20957.464770000002,
Sulawesi Tenggara,2016,Urbanization,251.15573,77794.98845,
Sulawesi Tenggara,2017,Commodity driven deforestation,60755.571130000004,25867880.07238,
Sulawesi Tenggara,2017,Forestry,13331.31829,8165715.14207,
Sulawesi Tenggara,2017,Shifting agriculture,220.69044,145140.59645,
Sulawesi Tenggara,2017,Unknown,23.59813,15692.23664,
Sulawesi Tenggara,2017,Urbanization,114.83894000000001,37920.02177,
Sulawesi Tenggara,2018,Commodity driven deforestation,53148.13764,22231240.85884,
Sulawesi Tenggara,2018,Forestry,12558.00894,7650935.7389899995,
Sulawesi Tenggara,2018,Shifting agriculture,193.79035,123525.83434,
Sulawesi Tenggara,2018,Unknown,11.37953,7597.7737099999995,
Sulawesi Tenggara,2018,Urbanization,244.27322,50657.37084,
Sulawesi Tenggara,2019,Commodity driven deforestation,42397.9654,16896553.28049,
Sulawesi Tenggara,2019,Forestry,9104.43687,5640858.36171,
Sulawesi Tenggara,2019,Shifting agriculture,149.73228,98154.84241,
Sulawesi Tenggara,2019,Unknown,17.12677,10880.78871,
Sulawesi Tenggara,2019,Urbanization,212.32172,58089.275819999995,
Sulawesi Tenggara,2020,Commodity driven deforestation,40232.19858,15147102.92306,
Sulawesi Tenggara,2020,Forestry,9654.67217,6011335.36265,
Sulawesi Tenggara,2020,Shifting agriculture,168.93184,110293.53503,
Sulawesi Tenggara,2020,Unknown,10.1525,5548.07769,
Sulawesi Tenggara,2020,Urbanization,154.63038,41429.88233,
Sulawesi Tenggara,2021,Commodity driven deforestation,46963.57385,19320380.36843,
Sulawesi Tenggara,2021,Forestry,11788.70836,6726261.96655,
Sulawesi Tenggara,2021,Shifting agriculture,194.09189,136921.08435000002,
Sulawesi Tenggara,2021,Unknown,37.83284,26349.376839999997,
Sulawesi Tenggara,2021,Urbanization,217.6736,61532.27373,
Sulawesi Tenggara,2022,Commodity driven deforestation,38775.66967,18486469.73886,
Sulawesi Tenggara,2022,Forestry,10099.32784,5919408.70717,
Sulawesi Tenggara,2022,Shifting agriculture,179.63135,120539.33287,
Sulawesi Tenggara,2022,Unknown,22.68675,14220.14207,
Sulawesi Tenggara,2022,Urbanization,217.24036,55410.78854,
Sulawesi Tenggara,2023,Commodity driven deforestation,53010.14578,23749377.01109,
Sulawesi Tenggara,2023,Forestry,11946.30904,6926648.1823700005,
Sulawesi Tenggara,2023,Shifting agriculture,102.40090000000001,70204.18863,
Sulawesi Tenggara,2023,Unknown,5.38429,2293.23907,
Sulawesi Tenggara,2023,Urbanization,278.92379,56507.50772,
Gorontalo,2001,Commodity driven deforestation,493.77610000000004,317792.82596,
Gorontalo,2001,Forestry,2098.60545,1512428.38965,
Gorontalo,2001,Shifting agriculture,1299.30224,904857.35995,
Gorontalo,2001,Unknown,130.84619,57123.35055,
Gorontalo,2001,Urbanization,198.82154,137371.17472,
Gorontalo,2002,Commodity driven deforestation,800.88933,526022.66926,
Gorontalo,2002,Forestry,1880.74085,1279847.5144,
Gorontalo,2002,Shifting agriculture,1229.94711,853200.14919,
Gorontalo,2002,Unknown,57.23955,24138.71704,
Gorontalo,2002,Urbanization,74.04618,42981.32462,
Gorontalo,2003,Commodity driven deforestation,295.76201000000003,194156.90317,
Gorontalo,2003,Forestry,1320.50526,932411.87117,
Gorontalo,2003,Shifting agriculture,1160.14235,805528.30384,
Gorontalo,2003,Unknown,32.95116,13191.032920000001,
Gorontalo,2003,Urbanization,95.47939,63051.61374,
Gorontalo,2004,Commodity driven deforestation,1032.67217,653185.86133,
Gorontalo,2004,Forestry,2463.24989,1711956.4325,
Gorontalo,2004,Shifting agriculture,2765.34436,1829502.88643,
Gorontalo,2004,Unknown,112.98457,50110.03252,
Gorontalo,2004,Urbanization,74.42024,39413.42839,
Gorontalo,2005,Commodity driven deforestation,589.6387199999999,352622.99003,
Gorontalo,2005,Forestry,1256.70191,848560.0017200001,
Gorontalo,2005,Shifting agriculture,881.09495,571340.18249,
Gorontalo,2005,Unknown,42.09854,18127.07468,
Gorontalo,2005,Urbanization,44.63839,23363.00356,
Gorontalo,2006,Commodity driven deforestation,1573.0121,997375.34397,
Gorontalo,2006,Forestry,2877.0747100000003,1934720.23444,
Gorontalo,2006,Shifting agriculture,1145.16536,711665.14724,
Gorontalo,2006,Unknown,78.04536999999999,35705.12218,
Gorontalo,2006,Urbanization,63.47168,30656.15232,
Gorontalo,2007,Commodity driven deforestation,815.23928,506051.42902,
Gorontalo,2007,Forestry,2209.1735400000002,1566838.74446,
Gorontalo,2007,Shifting agriculture,1270.15479,784954.73049,
Gorontalo,2007,Unknown,58.419200000000004,26104.96478,
Gorontalo,2007,Urbanization,73.84472,39474.943719999996,
Gorontalo,2008,Commodity driven deforestation,648.89833,405533.13847,
Gorontalo,2008,Forestry,1758.6386200000002,1212304.2982299998,
Gorontalo,2008,Shifting agriculture,1437.78737,922332.0560100001,
Gorontalo,2008,Unknown,81.53133,36469.31181,
Gorontalo,2008,Urbanization,52.7826,26731.53113,
Gorontalo,2009,Commodity driven deforestation,741.35273,454890.84525,
Gorontalo,2009,Forestry,2002.58406,1328070.00234,
Gorontalo,2009,Shifting agriculture,1382.87689,883619.02709,
Gorontalo,2009,Unknown,62.27711,24478.54954,
Gorontalo,2009,Urbanization,70.11704,35796.22088,
Gorontalo,2010,Commodity driven deforestation,270.25072,178418.92154,
Gorontalo,2010,Forestry,697.7387600000001,473618.43632,
Gorontalo,2010,Shifting agriculture,615.7105200000001,401623.16034999996,
Gorontalo,2010,Unknown,29.963330000000003,14435.03117,
Gorontalo,2010,Urbanization,27.98105,15087.140589999999,
Gorontalo,2011,Commodity driven deforestation,1061.31583,586447.63996,
Gorontalo,2011,Forestry,2202.09465,1520889.92014,
Gorontalo,2011,Shifting agriculture,2275.25494,1380382.60946,
Gorontalo,2011,Unknown,92.77965,44310.001150000004,
Gorontalo,2011,Urbanization,207.21769,114947.82764999999,
Gorontalo,2012,Commodity driven deforestation,1573.87097,973976.81962,
Gorontalo,2012,Forestry,4463.66805,3008705.50728,
Gorontalo,2012,Shifting agriculture,1969.8725900000002,1247808.7674699998,
Gorontalo,2012,Unknown,140.69747,66476.64147,
Gorontalo,2012,Urbanization,133.30194,70249.60994,
Gorontalo,2013,Commodity driven deforestation,1226.46456,673623.35928,
Gorontalo,2013,Forestry,903.67803,537993.70014,
Gorontalo,2013,Shifting agriculture,541.91952,305595.4871,
Gorontalo,2013,Unknown,16.16464,6491.87817,
