power_unit_key,cluster_id,node_label,plant_name,unit_name,owner,parent,capacity_mw,status,start_year,province,local_area,captive_industry_use,source_dataset,cluster_key
PLTU-0053,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase III power station,Unit 10,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,300.0,shelved,,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0054,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase III power station,Unit 11,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,300.0,shelved,,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0055,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase III power station,Unit 12,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,300.0,shelved,,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0056,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase IV power station,Unit 2,PT Nadesico Nickel Industry,Jiangsu Delong Nickel Industry Co Ltd; Tongren Zhongwei Hongling No. 1 Enterprise Management Consulting Partnership LP; Zhongwei Hong Kong Zhengbang New Energy Co Ltd; Zhongwei Hong Kong Zhenghong New Energy Co Ltd,330.0,construction,,Sulawesi Tengah,,,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0057,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,Delong Nickel Phase II power station,Unit 11,PT Obsidian Stainless Steel [100%],Xiamen Xiangyu Group Co Ltd [51.0%]; Jiangsu Delong Nickel Industry Co Ltd [49.0%],380.0,cancelled,,Sulawesi Tenggara,Kendari,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-002
PLTU-0058,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase IV power station,Unit 3,PT Nadesico Nickel Industry,Jiangsu Delong Nickel Industry Co Ltd; Tongren Zhongwei Hongling No. 1 Enterprise Management Consulting Partnership LP; Zhongwei Hong Kong Zhengbang New Energy Co Ltd; Zhongwei Hong Kong Zhenghong New Energy Co Ltd,330.0,operating,2024.0,Sulawesi Tengah,,,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0059,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase III power station,Unit 07,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2023.0,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0060,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase III power station,Unit 02,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2022.0,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0061,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase III power station,Unit 03,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2022.0,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
PLTU-0062,NODE-SULTRA-KONAWE-MOROSI-VDNI,Simpul logistik Morosi-VDNI,Delong Nickel Phase III power station,Unit 04,PT Gunbuster Nickel Industry [100%],Jiangsu Delong Nickel Industry Co Ltd,135.0,operating,2022.0,Sulawesi Tengah,Petasia,power,data/processed/sulawesi_pltu_captive.csv,CLUSTER-003
