company_key,company_norm,company_name
COMP-0292,KISWAH PERDANA,KISWAH PERDANA
COMP-0293,MINERALINDO BERKAH SEMESTA,MINERALINDO BERKAH SEMESTA
COMP-0294,NAKA MOROWALI SEJAHTERA,NAKA MOROWALI SEJAHTERA
COMP-0295,PUTRA KOLAKA SEJAHTERA,PUTRA KOLAKA SEJAHTERA
COMP-0296,REJEKI ALAM SULTRA,REJEKI ALAM SULTRA
COMP-0297,RIDHA BUANA MANDIRI,RIDHA BUANA MANDIRI
COMP-0298,SULTRA SUMBER SEJAHTERA,SULTRA SUMBER SEJAHTERA
COMP-0299,TRI MITRA BABARINA PUTRA,TRI MITRA BABARINA PUTRA
COMP-0300,YUANDA JAYA INDONESIA,YUANDA JAYA INDONESIA
COMP-0301,ANUGERAH JAYA BUANA,ANUGERAH JAYA BUANA
COMP-0302,CITRA LAMPIA MANDIRI,CITRA LAMPIA MANDIRI
COMP-0303,DAYA GUNA GEMILANG,DAYA GUNA GEMILANG
COMP-0304,ERA MARPADOT,ERA MARPADOT
COMP-0305,KAHALA MINERA,KAHALA MINERA
COMP-0306,LINGKE SULAWESI MINERAL,LINGKE SULAWESI MINERAL
COMP-0307,MADUMA ASIH PRATAMA,MADUMA ASIH PRATAMA
COMP-0308,MITRA BERKARYA SEJATI,MITRA BERKARYA SEJATI
COMP-0309,PARAMOS REZEKI INDAH,PARAMOS REZEKI INDAH
COMP-0310,PONGKERU MINERAL UTAMA,PONGKERU MINERAL UTAMA
COMP-0311,PRIMA UTAMA LESTARI,PRIMA UTAMA LESTARI
COMP-0312,SANROY MITRA SAUDARA,SANROY MITRA SAUDARA
COMP-0313,SULAWESI DAMAI MINERAL,SULAWESI DAMAI MINERAL
COMP-0314,SUMBER WAHAU JAYA,SUMBER WAHAU JAYA
COMP-0315,TAMBORA RAYA,TAMBORA RAYA
COMP-0316,TIZAR TIRZIA TRIZARDI,TIZAR TIRZIA TRIZARDI
COMP-0317,VIRGO PUSPITA LESTARI,VIRGO PUSPITA LESTARI
COMP-0318,AEPRRA ENERGI PERSADA,AEPRRA ENERGI PERSADA
COMP-0319,ANUGERAH TEHNIK UTAMA,ANUGERAH TEHNIK UTAMA
COMP-0320,JUNIOR MANDIRI,JUNIOR MANDIRI
COMP-0321,MATTIRO DECENG LUTIM,MATTIRO DECENG LUTIM
COMP-0322,ORION MEA LUTIM,ORION MEA LUTIM
COMP-0323,PANCA DIGITAL SOLUTION,PANCA DIGITAL SOLUTION
COMP-0324,STAR MITRA SULAWESI,STAR MITRA SULAWESI
COMP-0325,ZAYN AL RAJHI,ZAYN AL RAJHI
COMP-0326,PT BAHODOPI NICKEL SMELTING INDONESIA,PT Bahodopi Nickel Smelting Indonesia
COMP-0327,PT GUNBUSTER NICKEL INDUSTRY,PT Gunbuster Nickel Industry
COMP-0328,PT VIRTUE DRAGON NICKEL INDUSTRY,PT Virtue Dragon Nickel Industry
COMP-0329,PT OBSIDIAN STAINLESS STEEL,PT Obsidian Stainless Steel
COMP-0330,PT ANEKA TAMBANG TBK,PT Aneka Tambang Tbk
COMP-0331,PT SULAWESI MINING INVESTMENT 100,PT Sulawesi Mining Investment [100%]
COMP-0332,INDONESIA HUAQING ALUMINUM CO LTD 100,Indonesia Huaqing Aluminum Co Ltd [100%]
COMP-0333,INDONESIA WANJIA FERRO NICKEL CO LTD 100,Indonesia Wanjia Ferro Nickel Co Ltd [100%]
COMP-0334,INDONESIA ZHAOHUI FERRO NICKEL CO LTD 100,Indonesia Zhaohui Ferro Nickel Co Ltd [100%]
COMP-0335,PT METAL SMELTINDO SELARAS 100,PT Metal Smeltindo Selaras [100%]
COMP-0336,INDONESIA ETERNAL SMELTING CO 100,Indonesia Eternal Smelting Co [100%]
COMP-0337,PT WALSIN NICKEL INDUSTRIAL INDONESIA 100,PT Walsin Nickel Industrial Indonesia [100%]
COMP-0338,PT INDONESIA GUANG CHING NICKEL AND STAINLESS STEEL INDUSTRY 100,PT Indonesia Guang Ching Nickel and Stainless Steel Industry [100%]
COMP-0339,INDONESIA MOROWALI POWER CO 100,Indonesia Morowali Power Co [100%]
COMP-0340,PT INDONESIA TSINGSHAN STAINLESS STEEL 100,PT Indonesia Tsingshan Stainless Steel [100%]
COMP-0341,PT NADESICO NICKEL INDUSTRY,PT Nadesico Nickel Industry
COMP-0342,PT GUNBUSTER NICKEL INDUSTRY 100,PT Gunbuster Nickel Industry [100%]
COMP-0343,PT OBSIDIAN STAINLESS STEEL 100,PT Obsidian Stainless Steel [100%]
COMP-0344,PT VIRTUE DRAGON NICKEL INDUSTRY 100,PT Virtue Dragon Nickel Industry [100%]
COMP-0345,PT ANEKA TAMBANG TBK 100,PT Aneka Tambang Tbk [100%]
