permit_key,cluster_id,node_label,nama_badan_usaha,nomor_izin,jenis_badan_usaha,komoditas,is_core_nickel,tahap_kegiatan,provinsi,lokasi_perizinan,tahun,luas_ha,source_dataset,cluster_key
PERMIT-0135,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,SOIL EXCAVATION,81200102818320002,Perusahaan Komanditer (CV),Batu Gamping,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,9.7,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0136,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,SUKENA WALET,09112203586160002,Perusahaan Komanditer (CV),Pasir,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,35.6,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0137,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,SUMBER BATU NUSANTARA,12052200519370039,Perusahaan Perseroan Terbatas (PT),Batu Gamping,tidak,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2023,51.96,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0138,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,SUMBER MINERAL ABADI,540/519/IUP-OP/DPMPTSP/2020,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2020,1948.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0139,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,SUMBER PERMATA SELARAS,540/467/IUP-OP/P/DPMPTSP/2020,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2020,424.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0140,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,SUMBER SWARNA PRATAMA,540/456/IUP-PR/DPMPTSP/2019,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2019,2641.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0141,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,TIGA DARA,41/1/IUP/PMDN/2023,Perusahaan Komanditer (CV),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,"KAB. BANGGAI, KAB. MOROWALI UTARA",2023,1074.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0142,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,TRINUSA BANGUN PERKASA,18/1/IUP/PMDN/2024,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2024,1305.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0143,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,TRINUSA DHARMA UTAMA,1742/1/IUP/PMDN/2021,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2021,85.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
PERMIT-0144,NODE-SULTENG-MORUT-PETASIA-GNI,Simpul logistik pesisir Petasia-GNI,USAHA KITA KINERJATAMA,1107/1/IUP/PMDN/2022,Perusahaan Perseroan Terbatas (PT),Nikel,ya,OPERASI PRODUKSI,Sulawesi Tengah,KAB. MOROWALI UTARA,2022,1209.0,data/processed/sulawesi_izin_raw_details.csv,CLUSTER-002
