Provinsi,Tahun,Faktor_Pendorong,Luas_Deforestasi_Ha,Emisi_CO2_Megagram,Hutan_Primer
Sulawesi Tenggara,2014,Kehutanan,5088.13173,3015689.76718,Tidak/Tidak Diketahui
Sulawesi Tenggara,2014,Pertanian Berpindah,690.9253100000001,459745.28128,Tidak/Tidak Diketahui
Sulawesi Tenggara,2014,Tidak Diketahui,34.081300000000006,24899.38408,Tidak/Tidak Diketahui
Sulawesi Tenggara,2015,Deforestasi Komoditas (Tambang/Sawit),37230.97777,24408662.23782,Tidak/Tidak Diketahui
Sulawesi Tenggara,2015,Kehutanan,5668.47248,3567933.87757,Tidak/Tidak Diketahui
Sulawesi Tenggara,2015,Pertanian Berpindah,446.52103,277436.38685,Tidak/Tidak Diketahui
Sulawesi Tenggara,2015,Tidak Diketahui,65.15141,42405.46809,Tidak/Tidak Diketahui
Sulawesi Tenggara,2016,Deforestasi Komoditas (Tambang/Sawit),32288.70566,21381428.645,Tidak/Tidak Diketahui
Sulawesi Tenggara,2016,Kehutanan,5419.25463,3461754.51311,Tidak/Tidak Diketahui
Sulawesi Tenggara,2016,Pertanian Berpindah,561.24986,332615.30523,Tidak/Tidak Diketahui
Sulawesi Tenggara,2016,Tidak Diketahui,65.63612,50950.82784,Tidak/Tidak Diketahui
Sulawesi Tenggara,2017,Deforestasi Komoditas (Tambang/Sawit),22669.87246,15331294.29028,Tidak/Tidak Diketahui
Sulawesi Tenggara,2017,Kehutanan,4066.04127,2649836.57994,Tidak/Tidak Diketahui
Sulawesi Tenggara,2017,Pertanian Berpindah,288.36078000000003,199744.38459,Tidak/Tidak Diketahui
Sulawesi Tenggara,2017,Tidak Diketahui,46.36899,27566.24581,Tidak/Tidak Diketahui
Sulawesi Tenggara,2018,Deforestasi Komoditas (Tambang/Sawit),20497.58747,13483774.33381,Tidak/Tidak Diketahui
Sulawesi Tenggara,2018,Kehutanan,3299.3803,2038245.99655,Tidak/Tidak Diketahui
Sulawesi Tenggara,2018,Pertanian Berpindah,288.54277,206570.034,Tidak/Tidak Diketahui
Sulawesi Tenggara,2018,Tidak Diketahui,27.31582,17843.9908,Tidak/Tidak Diketahui
Sulawesi Tenggara,2019,Deforestasi Komoditas (Tambang/Sawit),30254.51924,20532384.14395,Tidak/Tidak Diketahui
