provinsi,tahun,indikator,nilai,Sumber
Sulawesi Selatan,2019,Kasus Diare Dilayani,145456,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2019,Kasus Diare Dilayani,52584,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2019,Kasus Diare Dilayani,27212,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2019,Kasus Diare Dilayani,19435,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2019,Kasus ISPA/Pneumonia,3013,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2019,Kasus ISPA/Pneumonia,1484,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2019,Kasus ISPA/Pneumonia,5108,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2019,Kasus ISPA/Pneumonia,8430,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2019,Kasus ISPA/Pneumonia,3648,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2019,Kasus ISPA/Pneumonia,752,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2019,Kasus Kusta Baru,218,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2019,Kasus Kusta Baru,182,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2019,Kasus Kusta Baru,1152,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2019,Kasus Kusta Baru,295,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2019,Kasus Kusta Baru,214,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2019,Kasus Kusta Baru,590,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2019,Kasus Malaria Positif,32,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2019,Kasus Malaria Positif,194,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2019,Kasus Malaria Positif,861,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2019,Kasus Malaria Positif,179,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2019,Kasus Malaria Positif,812,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2019,Kasus Malaria Positif,501,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2020,Kasus Diare Dilayani,12539,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2020,Kasus Diare Dilayani,18290,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2020,Kasus Diare Dilayani,86993,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2020,Kasus Diare Dilayani,38757,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2020,Kasus Diare Dilayani,15237,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2020,Kasus Diare Dilayani,3369,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2020,Kasus ISPA/Pneumonia,1514,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Barat,2020,Kasus ISPA/Pneumonia,565,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Selatan,2020,Kasus ISPA/Pneumonia,3027,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tengah,2020,Kasus ISPA/Pneumonia,5724,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Tenggara,2020,Kasus ISPA/Pneumonia,1283,nasional_kesehatan_detail_2014_2024.csv
Sulawesi Utara,2020,Kasus ISPA/Pneumonia,274,nasional_kesehatan_detail_2014_2024.csv
Gorontalo,2020,Kasus Kusta Baru,106,nasional_kesehatan_detail_2014_2024.csv
