Provinsi,Tahun,Faktor_Pendorong,Luas_Deforestasi_Ha,Emisi_CO2_Megagram,Hutan_Primer
Gorontalo,2014,Tidak Diketahui,34.868610000000004,15313.22124,Tidak/Tidak Diketahui
Gorontalo,2014,Urbanisasi,94.51018,44782.26725,Tidak/Tidak Diketahui
Gorontalo,2015,Deforestasi Komoditas (Tambang/Sawit),749.1194,438593.21031,Tidak/Tidak Diketahui
Gorontalo,2015,Kehutanan,1276.69783,795267.7178699999,Tidak/Tidak Diketahui
Gorontalo,2015,Pertanian Berpindah,809.66192,456827.57348,Tidak/Tidak Diketahui
Gorontalo,2015,Tidak Diketahui,11.28912,4893.32744,Tidak/Tidak Diketahui
Gorontalo,2015,Urbanisasi,45.85321999999999,21950.63715,Tidak/Tidak Diketahui
Gorontalo,2016,Deforestasi Komoditas (Tambang/Sawit),751.2102199999999,469110.69389,Tidak/Tidak Diketahui
Gorontalo,2016,Kehutanan,1189.79046,739345.24704,Tidak/Tidak Diketahui
Gorontalo,2016,Pertanian Berpindah,1180.15119,708311.2213399999,Tidak/Tidak Diketahui
Gorontalo,2016,Tidak Diketahui,10.37796,4918.08226,Tidak/Tidak Diketahui
Gorontalo,2016,Urbanisasi,48.82615,24730.85996,Tidak/Tidak Diketahui
Gorontalo,2017,Deforestasi Komoditas (Tambang/Sawit),1223.86459,757562.0079000001,Tidak/Tidak Diketahui
Gorontalo,2017,Kehutanan,1514.87705,922300.84657,Tidak/Tidak Diketahui
Gorontalo,2017,Pertanian Berpindah,1834.93336,1054127.96406,Tidak/Tidak Diketahui
Gorontalo,2017,Tidak Diketahui,37.1316,14955.917780000002,Tidak/Tidak Diketahui
Gorontalo,2017,Urbanisasi,92.3176,43863.36773,Tidak/Tidak Diketahui
Gorontalo,2018,Deforestasi Komoditas (Tambang/Sawit),1059.75932,699449.76059,Tidak/Tidak Diketahui
Gorontalo,2018,Kehutanan,1713.03752,1093439.7384799998,Tidak/Tidak Diketahui
Gorontalo,2018,Pertanian Berpindah,1387.26421,787205.15123,Tidak/Tidak Diketahui
Gorontalo,2018,Tidak Diketahui,15.33818,6851.45088,Tidak/Tidak Diketahui
Gorontalo,2018,Urbanisasi,98.29333,53021.00259,Tidak/Tidak Diketahui
Gorontalo,2019,Deforestasi Komoditas (Tambang/Sawit),1433.8331400000002,915614.67473,Tidak/Tidak Diketahui
Gorontalo,2019,Kehutanan,2218.11085,1393883.52997,Tidak/Tidak Diketahui
Gorontalo,2019,Pertanian Berpindah,1258.60653,707466.14621,Tidak/Tidak Diketahui
Gorontalo,2019,Tidak Diketahui,38.99638,18266.15909,Tidak/Tidak Diketahui
Gorontalo,2019,Urbanisasi,162.04521,77302.98173,Tidak/Tidak Diketahui
Gorontalo,2020,Deforestasi Komoditas (Tambang/Sawit),1047.38973,686962.43025,Tidak/Tidak Diketahui
Gorontalo,2020,Kehutanan,1907.83146,1266643.1581,Tidak/Tidak Diketahui
Gorontalo,2020,Pertanian Berpindah,1828.37094,1018842.16985,Tidak/Tidak Diketahui
Gorontalo,2020,Tidak Diketahui,48.90957,26074.237350000003,Tidak/Tidak Diketahui
Gorontalo,2020,Urbanisasi,78.83932999999999,39525.46859,Tidak/Tidak Diketahui
Gorontalo,2021,Deforestasi Komoditas (Tambang/Sawit),1289.33064,835868.61214,Tidak/Tidak Diketahui
Gorontalo,2021,Kehutanan,1089.5696899999998,737495.8939499999,Tidak/Tidak Diketahui
Gorontalo,2021,Pertanian Berpindah,1035.24625,604920.3069,Tidak/Tidak Diketahui
Gorontalo,2021,Tidak Diketahui,25.55115,12519.03236,Tidak/Tidak Diketahui
Gorontalo,2021,Urbanisasi,78.99595,38229.75981,Tidak/Tidak Diketahui
Gorontalo,2022,Deforestasi Komoditas (Tambang/Sawit),943.70559,606455.92551,Tidak/Tidak Diketahui
Gorontalo,2022,Kehutanan,1148.05388,779082.33783,Tidak/Tidak Diketahui
