tahun,provinsi,jenis_faskes,jumlah,sumber_kutipan,sumber_file
2022,Sulawesi Tengah,Rumah Sakit,39,"Lampiran 8.a JUMLAH RUMAH SAKIT MENURUT JENIS, KEPEMILIKAN, DAN PROVINSI TAHUN 2022",nasional/sulawesi/sulawesi_2022_Rumah_Sakit_page_373.md
2022,Sulawesi Tenggara,Puskesmas,297,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR (MINIMAL) MENURUT PROVINSI TAHUN 2022,nasional/sulawesi/sulawesi_2022_Puskesmas_page_366.md
2022,Sulawesi Tenggara,Rumah Sakit,39,"Lampiran 8.a JUMLAH RUMAH SAKIT MENURUT JENIS, KEPEMILIKAN, DAN PROVINSI TAHUN 2022",nasional/sulawesi/sulawesi_2022_Rumah_Sakit_page_373.md
2022,Sulawesi Utara,Puskesmas,198,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR (MINIMAL) MENURUT PROVINSI TAHUN 2022,nasional/sulawesi/sulawesi_2022_Puskesmas_page_366.md
2022,Sulawesi Utara,Rumah Sakit,55,"Lampiran 8.a JUMLAH RUMAH SAKIT MENURUT JENIS, KEPEMILIKAN, DAN PROVINSI TAHUN 2022",nasional/sulawesi/sulawesi_2022_Rumah_Sakit_page_373.md
2023,Gorontalo,Puskesmas,93,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR (MINIMAL) MENURUT PROVINSI TAHUN 2023,nasional/sulawesi/sulawesi_2023_Puskesmas_page_370.md
2023,Gorontalo,Rumah Sakit,20,"Lampiran 8.a JUMLAH RUMAH SAKIT MENURUT JENIS, KEPEMILIKAN, DAN PROVINSI TAHUN 2023",nasional/sulawesi/sulawesi_2023_Rumah_Sakit_page_377.md
2023,Sulawesi Barat,Puskesmas,98,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR (MINIMAL) MENURUT PROVINSI TAHUN 2023,nasional/sulawesi/sulawesi_2023_Puskesmas_page_370.md
2023,Sulawesi Barat,Rumah Sakit,15,"Lampiran 8.a JUMLAH RUMAH SAKIT MENURUT JENIS, KEPEMILIKAN, DAN PROVINSI TAHUN 2023",nasional/sulawesi/sulawesi_2023_Rumah_Sakit_page_377.md
2023,Sulawesi Selatan,Puskesmas,474,Lampiran 4.e PERSENTASE PUSKESMAS DENGAN JENIS TENAGA KESEHATAN (9 NAKES) SESUAI DENGAN STANDAR (MINIMAL) MENURUT PROVINSI TAHUN 2023,nasional/sulawesi/sulawesi_2023_Puskesmas_page_370.md
