provinsi,kabupaten,tahun,sektor_nama,nilai_miliar_rp,pct_dari_total
Sulawesi Tengah,Banggai,2019,Real Estate,420.39,0.7118513367087811
Sulawesi Tengah,Banggai,2019,Jasa Perusahaan,26.2,0.04436476848110103
Sulawesi Tengah,Banggai,2019,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1017.21,1.7224536697198773
Sulawesi Tengah,Banggai,2019,Jasa Pendidikan,715.44,1.2114629756533941
Sulawesi Tengah,Banggai,2019,Jasa Kesehatan dan Kegiatan Sosial,198.32,0.3358175910370976
Sulawesi Tengah,Banggai,2019,Jasa Lainnya,135.21,0.22895268497441493
Sulawesi Tengah,Banggai,2019,PRODUK DOMESTIK BRUTO,29527.93,49.99999153344113
Sulawesi Tengah,Banggai,2020,"Pertanian, Kehutanan, dan Perikanan",6395.95,11.688127047060062
Sulawesi Tengah,Banggai,2020,Pertambangan dan Penggalian,6270.76,11.459351552407753
Sulawesi Tengah,Banggai,2020,Industri Pengolahan,6645.56,12.144270918137332
Sulawesi Tengah,Banggai,2020,Pengadaan Listrik dan Gas,4.7,0.008588903465659097
Sulawesi Tengah,Banggai,2020,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",14.2,0.025949453023906204
Sulawesi Tengah,Banggai,2020,Konstruksi,2153.85,3.9360020701084775
Sulawesi Tengah,Banggai,2020,Perdagangan Besar dan Eceran; Reparasi Mobil dan Sepeda Motor,1411.76,2.579887309931678
Sulawesi Tengah,Banggai,2020,Transportasi dan Pergudangan,600.53,1.097424297496225
Sulawesi Tengah,Banggai,2020,Penyediaan Akomodasi dan Makan Minum,81.5,0.1489352409470673
Sulawesi Tengah,Banggai,2020,Informasi dan Komunikasi,706.79,1.291606612870892
Sulawesi Tengah,Banggai,2020,Jasa Keuangan dan Asuransi,518.69,0.9478677316175995
Sulawesi Tengah,Banggai,2020,Real Estate,426.14,0.7787394303948867
Sulawesi Tengah,Banggai,2020,Jasa Perusahaan,26.4,0.048244053509234074
Sulawesi Tengah,Banggai,2020,"Administrasi Pemerintahan, Pertahanan dan Jaminan Sosial Wajib",1048.37,1.9158188779346865
Sulawesi Tengah,Banggai,2020,Jasa Pendidikan,704.64,1.2876776463919204
Sulawesi Tengah,Banggai,2020,Jasa Kesehatan dan Kegiatan Sosial,215.46,0.39373726398104447
Sulawesi Tengah,Banggai,2020,Jasa Lainnya,135.59,0.2477807278529185
Sulawesi Tengah,Banggai,2020,PRODUK DOMESTIK BRUTO,27360.88,49.99999086286866
Sulawesi Tengah,Banggai,2021,"Pertanian, Kehutanan, dan Perikanan",6945.61,11.266159720487524
Sulawesi Tengah,Banggai,2021,Pertambangan dan Penggalian,6818.54,11.060045222886544
Sulawesi Tengah,Banggai,2021,Industri Pengolahan,8282.64,13.434895588335479
Sulawesi Tengah,Banggai,2021,Pengadaan Listrik dan Gas,4.94,0.008012950485156578
Sulawesi Tengah,Banggai,2021,"Pengadaan Air, Pengelolaan Sampah, Limbah dan Daur Ulang",15.85,0.02570956785217242
Sulawesi Tengah,Banggai,2021,Konstruksi,2275.49,3.690969372362133
