tahun,provinsi,jenis_bencana,jumlah_kejadian,korban_terdampak,Sumber
2024,Sulawesi Selatan,Banjir,1.0,1020,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,2460,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,105,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Tanah Longsor,1.0,74,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,55,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,145,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,2350,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,100,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,3831,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,2500,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Utara,Banjir,1.0,7950,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Utara,Banjir,1.0,12871,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,1095,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,1570,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,0.5,5000,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,0.5,440,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Barat,Banjir,1.0,520,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,155,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,785,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,7500,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,105,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Barat,Banjir,1.0,270,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tenggara,Banjir,1.0,40,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Barat,Banjir,1.0,150,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,1116,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,785,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,3302,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,163,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,695,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tenggara,Banjir,1.0,1360,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tenggara,Banjir,1.0,16165,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,2959,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Utara,Banjir,1.0,414,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Utara,Banjir,1.0,1674,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Utara,Banjir,1.0,709,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tenggara,Banjir,1.0,275,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,0,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Tanah Longsor,1.0,0,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tenggara,Banjir,1.0,14,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,770,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Utara,Banjir,1.0,2149,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,200,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,965,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Utara,Banjir,1.0,536,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,1179,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tenggara,Banjir,1.0,6315,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Tanah Longsor,1.0,101,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,210,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,482,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tenggara,Banjir,1.0,400,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,340,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,150,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,0,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,605,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Banjir,1.0,245,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Selatan,Tanah Longsor,1.0,25,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,75,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Tengah,Banjir,1.0,1000,Data DIBI BNPB (Raw Recovered)
2024,Sulawesi Barat,Banjir,1.0,1845,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tengah,Banjir,1.0,425,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Selatan,Banjir,1.0,48,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tengah,Banjir,1.0,12,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Barat,Banjir,1.0,364,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Barat,Tanah Longsor,1.0,8,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Utara,Banjir,1.0,79,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tengah,Banjir,1.0,50,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Utara,Banjir,1.0,29,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Tengah,Banjir,1.0,70,Data DIBI BNPB (Raw Recovered)
2023,Sulawesi Barat,Banjir,1.0,203,Data DIBI BNPB (Raw Recovered)
