provinsi,tahun,indikator,nilai
Sumatera Selatan,2015,Kasus Kusta Baru,330
Sumatera Utara,2015,Kasus Kusta Baru,197
Aceh,2015,Kasus Malaria Positif,422
Bali,2015,Kasus Malaria Positif,5
Banten,2015,Kasus Malaria Positif,28
Bengkulu,2015,Kasus Malaria Positif,3814
DI Yogyakarta,2015,Kasus Malaria Positif,126
DKI Jakarta,2015,Kasus Malaria Positif,23
Gorontalo,2015,Kasus Malaria Positif,649
Jambi,2015,Kasus Malaria Positif,1612
Jawa Barat,2015,Kasus Malaria Positif,179
Jawa Tengah,2015,Kasus Malaria Positif,2190
Jawa Timur,2015,Kasus Malaria Positif,25
Kalimantan Barat,2015,Kasus Malaria Positif,640
Kalimantan Selatan,2015,Kasus Malaria Positif,2716
Kalimantan Tengah,2015,Kasus Malaria Positif,1047
Kalimantan Timur,2015,Kasus Malaria Positif,1562
Kalimantan Utara,2015,Kasus Malaria Positif,18
Kep. Bangka Belitung,2015,Kasus Malaria Positif,1484
Kepulauan Riau,2015,Kasus Malaria Positif,688
Lampung,2015,Kasus Malaria Positif,3991
Maluku,2015,Kasus Malaria Positif,9802
Maluku Utara,2015,Kasus Malaria Positif,3220
Nusa Tenggara Barat,2015,Kasus Malaria Positif,2014
Nusa Tenggara Timur,2015,Kasus Malaria Positif,36039
Papua,2015,Kasus Malaria Positif,100561
Papua Barat,2015,Kasus Malaria Positif,27266
Riau,2015,Kasus Malaria Positif,625
Sulawesi Barat,2015,Kasus Malaria Positif,220
Sulawesi Selatan,2015,Kasus Malaria Positif,818
Sulawesi Tengah,2015,Kasus Malaria Positif,1953
Sulawesi Tenggara,2015,Kasus Malaria Positif,1073
Sulawesi Utara,2015,Kasus Malaria Positif,2128
Sumatera Barat,2015,Kasus Malaria Positif,752
Sumatera Selatan,2015,Kasus Malaria Positif,2495
Sumatera Utara,2015,Kasus Malaria Positif,6840
Aceh,2016,Kasus Diare Dilayani,25341
Bali,2016,Kasus Diare Dilayani,32651
Banten,2016,Kasus Diare Dilayani,164079
Bengkulu,2016,Kasus Diare Dilayani,12017
DI Yogyakarta,2016,Kasus Diare Dilayani,8442
DKI Jakarta,2016,Kasus Diare Dilayani,246895
Gorontalo,2016,Kasus Diare Dilayani,16206
Jambi,2016,Kasus Diare Dilayani,26001
Jawa Barat,2016,Kasus Diare Dilayani,930176
Jawa Tengah,2016,Kasus Diare Dilayani,95635
Jawa Timur,2016,Kasus Diare Dilayani,338806
Kalimantan Barat,2016,Kasus Diare Dilayani,0
Kalimantan Selatan,2016,Kasus Diare Dilayani,9986
Kalimantan Tengah,2016,Kasus Diare Dilayani,9472
Kalimantan Timur,2016,Kasus Diare Dilayani,51776
Kalimantan Utara,2016,Kasus Diare Dilayani,0
Kep. Bangka Belitung,2016,Kasus Diare Dilayani,12149
Kepulauan Riau,2016,Kasus Diare Dilayani,5351
Lampung,2016,Kasus Diare Dilayani,43323
Maluku,2016,Kasus Diare Dilayani,7764
Maluku Utara,2016,Kasus Diare Dilayani,0
Nusa Tenggara Barat,2016,Kasus Diare Dilayani,89269
Nusa Tenggara Timur,2016,Kasus Diare Dilayani,66341
Papua,2016,Kasus Diare Dilayani,16242
Papua Barat,2016,Kasus Diare Dilayani,0
Riau,2016,Kasus Diare Dilayani,7717
Sulawesi Barat,2016,Kasus Diare Dilayani,25825
Sulawesi Selatan,2016,Kasus Diare Dilayani,172650
Sulawesi Tengah,2016,Kasus Diare Dilayani,12992
Sulawesi Tenggara,2016,Kasus Diare Dilayani,30304
Sulawesi Utara,2016,Kasus Diare Dilayani,6337
Sumatera Barat,2016,Kasus Diare Dilayani,36322
Sumatera Selatan,2016,Kasus Diare Dilayani,44015
Sumatera Utara,2016,Kasus Diare Dilayani,0
Aceh,2016,Kasus ISPA/Pneumonia,1854
Bali,2016,Kasus ISPA/Pneumonia,6688
Banten,2016,Kasus ISPA/Pneumonia,30649
Bengkulu,2016,Kasus ISPA/Pneumonia,530
DI Yogyakarta,2016,Kasus ISPA/Pneumonia,3160
DKI Jakarta,2016,Kasus ISPA/Pneumonia,44967
Gorontalo,2016,Kasus ISPA/Pneumonia,4084
Jambi,2016,Kasus ISPA/Pneumonia,5572
Jawa Barat,2016,Kasus ISPA/Pneumonia,174612
Jawa Tengah,2016,Kasus ISPA/Pneumonia,59650
Jawa Timur,2016,Kasus ISPA/Pneumonia,93279
Kalimantan Barat,2016,Kasus ISPA/Pneumonia,2542
Kalimantan Selatan,2016,Kasus ISPA/Pneumonia,13262
Kalimantan Tengah,2016,Kasus ISPA/Pneumonia,466
Kalimantan Timur,2016,Kasus ISPA/Pneumonia,7153
Kalimantan Utara,2016,Kasus ISPA/Pneumonia,2632
Kep. Bangka Belitung,2016,Kasus ISPA/Pneumonia,7236
Kepulauan Riau,2016,Kasus ISPA/Pneumonia,1214
Lampung,2016,Kasus ISPA/Pneumonia,7684
Maluku,2016,Kasus ISPA/Pneumonia,534
Maluku Utara,2016,Kasus ISPA/Pneumonia,613
Nusa Tenggara Barat,2016,Kasus ISPA/Pneumonia,25946
