provinsi,tahun,indikator,nilai
DKI Jakarta,2023,Kasus Diare Dilayani,195609
DKI Jakarta,2023,Kasus ISPA/Pneumonia,34516
DKI Jakarta,2023,Kasus Kusta Baru,542
DKI Jakarta,2023,Kasus Malaria Positif,265
DKI Jakarta,2024,Kasus Diare Dilayani,195005
DKI Jakarta,2024,Kasus ISPA/Pneumonia,41032
DKI Jakarta,2024,Kasus Kusta Baru,481
DKI Jakarta,2024,Kasus Malaria Positif,358
Gorontalo,2014,Kasus Diare Dilayani,0
Gorontalo,2014,Kasus ISPA/Pneumonia,1572
Gorontalo,2014,Kasus Kusta Baru,152
Gorontalo,2014,Kasus Malaria Positif,949
Gorontalo,2015,Kasus Diare Dilayani,14086
Gorontalo,2015,Kasus ISPA/Pneumonia,4226
Gorontalo,2015,Kasus Kusta Baru,223
Gorontalo,2015,Kasus Malaria Positif,649
Gorontalo,2016,Kasus Diare Dilayani,16206
Gorontalo,2016,Kasus ISPA/Pneumonia,4084
Gorontalo,2016,Kasus Kusta Baru,177
Gorontalo,2016,Kasus Malaria Positif,176
Gorontalo,2017,Kasus ISPA/Pneumonia,3996
Gorontalo,2017,Kasus Kusta Baru,214
Gorontalo,2017,Kasus Malaria Positif,46
Gorontalo,2018,Kasus Diare Dilayani,20801
Gorontalo,2018,Kasus ISPA/Pneumonia,3237
Gorontalo,2018,Kasus Kusta Baru,210
Gorontalo,2018,Kasus Malaria Positif,58
Gorontalo,2019,Kasus Diare Dilayani,21869
Gorontalo,2019,Kasus ISPA/Pneumonia,3013
Gorontalo,2019,Kasus Kusta Baru,218
Gorontalo,2019,Kasus Malaria Positif,32
Gorontalo,2020,Kasus Diare Dilayani,12539
Gorontalo,2020,Kasus ISPA/Pneumonia,1514
Gorontalo,2020,Kasus Kusta Baru,106
Gorontalo,2020,Kasus Malaria Positif,36
Gorontalo,2021,Kasus Diare Dilayani,9982
Gorontalo,2021,Kasus ISPA/Pneumonia,1424
Gorontalo,2021,Kasus Kusta Baru,121
Gorontalo,2021,Kasus Malaria Positif,49
Gorontalo,2022,Kasus Diare Dilayani,9611
Gorontalo,2022,Kasus ISPA/Pneumonia,1947
Gorontalo,2022,Kasus Kusta Baru,60
Gorontalo,2022,Kasus Malaria Positif,52
Gorontalo,2023,Kasus Diare Dilayani,14482
Gorontalo,2023,Kasus ISPA/Pneumonia,2716
Gorontalo,2023,Kasus Kusta Baru,166
Gorontalo,2023,Kasus Malaria Positif,1569
Gorontalo,2024,Kasus Diare Dilayani,13040
Gorontalo,2024,Kasus ISPA/Pneumonia,2843
Gorontalo,2024,Kasus Kusta Baru,212
Gorontalo,2024,Kasus Malaria Positif,1581
Jambi,2014,Kasus Diare Dilayani,64180
Jambi,2014,Kasus ISPA/Pneumonia,5499
Jambi,2014,Kasus Kusta Baru,78
Jambi,2014,Kasus Malaria Positif,2855
Jambi,2015,Kasus Diare Dilayani,56994
Jambi,2015,Kasus ISPA/Pneumonia,7114
Jambi,2015,Kasus Kusta Baru,72
Jambi,2015,Kasus Malaria Positif,1612
Jambi,2016,Kasus Diare Dilayani,26001
Jambi,2016,Kasus ISPA/Pneumonia,5572
Jambi,2016,Kasus Kusta Baru,61
Jambi,2016,Kasus Malaria Positif,492
Jambi,2017,Kasus ISPA/Pneumonia,5484
Jambi,2017,Kasus Kusta Baru,60
Jambi,2017,Kasus Malaria Positif,187
Jambi,2018,Kasus Diare Dilayani,74741
Jambi,2018,Kasus ISPA/Pneumonia,4080
Jambi,2018,Kasus Kusta Baru,78
Jambi,2018,Kasus Malaria Positif,189
Jambi,2019,Kasus Diare Dilayani,70023
Jambi,2019,Kasus ISPA/Pneumonia,3525
Jambi,2019,Kasus Kusta Baru,94
Jambi,2019,Kasus Malaria Positif,66
Jambi,2020,Kasus Diare Dilayani,46383
Jambi,2020,Kasus ISPA/Pneumonia,1812
Jambi,2020,Kasus Kusta Baru,61
Jambi,2020,Kasus Malaria Positif,68
Jambi,2021,Kasus Diare Dilayani,38704
Jambi,2021,Kasus ISPA/Pneumonia,1163
Jambi,2021,Kasus Kusta Baru,45
