provinsi,kabupaten,tahun,jumlah_penduduk_rb,laju_pertumbuhan_sumber_pct,kepadatan_per_km2,laju_pertumbuhan_yoy_pct,is_smelter,iup_kumulatif
Sulawesi Selatan,Luwu,2010,333.5,1.08,111.0,,False,
Sulawesi Selatan,Luwu,2016,353.3,96.48,4.0,5.94,False,1.0
Sulawesi Selatan,Luwu,2017,356.3,0.87,119.0,0.85,False,6.0
Sulawesi Selatan,Luwu,2018,359.209,0.82,120.0,0.82,False,11.0
Sulawesi Selatan,Luwu,2019,362.0,0.92,121.0,0.78,False,14.0
Sulawesi Selatan,Luwu,2020,365.6,0.92,122.0,0.99,False,14.0
Sulawesi Selatan,Luwu,2021,367.5,0.38,110.0,0.52,False,22.0
Sulawesi Selatan,Luwu,2023,379.3,1.35,131.0,3.21,False,51.0
Sulawesi Selatan,Luwu,2024,384.3,1.34,132.0,1.32,False,105.0
Sulawesi Selatan,Luwu,2025,389.3,1.33,134.0,1.3,False,
Sulawesi Selatan,Luwu,2026,394.2,1.32,136.0,1.26,False,
Sulawesi Selatan,Luwu Timur,2010,243.8,2.64,35.0,,True,
Sulawesi Selatan,Luwu Timur,2016,281.8,105.84,3.0,15.59,True,1.0
Sulawesi Selatan,Luwu Timur,2017,287.9,2.2,41.0,2.16,True,6.0
Sulawesi Selatan,Luwu Timur,2018,293.822,2.07,42.0,2.06,True,11.0
Sulawesi Selatan,Luwu Timur,2019,299.7,2.32,43.0,2.0,True,14.0
Sulawesi Selatan,Luwu Timur,2020,296.7,1.95,43.0,-1.0,True,14.0
Sulawesi Selatan,Luwu Timur,2021,300.5,0.95,43.0,1.28,True,22.0
Sulawesi Selatan,Luwu Timur,2023,308.5,1.43,46.0,2.66,True,51.0
Sulawesi Selatan,Luwu Timur,2024,312.7,1.41,46.0,1.36,True,105.0
Sulawesi Selatan,Luwu Timur,2025,316.9,1.39,47.0,1.34,True,
Sulawesi Selatan,Luwu Timur,2026,321.0,1.38,48.0,1.29,True,
Sulawesi Selatan,Luwu Utara,2010,288.4,1.08,38.0,,False,
Sulawesi Selatan,Luwu Utara,2016,305.4,100.8,4.0,5.89,False,1.0
Sulawesi Selatan,Luwu Utara,2017,308.0,0.87,41.0,0.85,False,6.0
Sulawesi Selatan,Luwu Utara,2018,310.47,0.8,41.0,0.8,False,11.0
Sulawesi Selatan,Luwu Utara,2019,312.9,0.91,42.0,0.78,False,14.0
Sulawesi Selatan,Luwu Utara,2020,322.9,1.13,43.0,3.2,False,14.0
Sulawesi Selatan,Luwu Utara,2021,325.1,0.49,43.0,0.68,False,22.0
Sulawesi Selatan,Luwu Utara,2023,333.8,1.21,45.0,2.68,False,51.0
Sulawesi Selatan,Luwu Utara,2024,337.7,1.2,45.0,1.17,False,105.0
Sulawesi Selatan,Luwu Utara,2025,341.5,1.19,46.0,1.13,False,
Sulawesi Selatan,Luwu Utara,2026,345.3,1.17,47.0,1.11,False,
Sulawesi Selatan,Maros,2010,320.1,1.28,198.0,,False,
Sulawesi Selatan,Maros,2016,342.9,95.75,4.0,7.12,False,1.0
Sulawesi Selatan,Maros,2017,346.4,1.04,214.0,1.02,False,6.0
Sulawesi Selatan,Maros,2018,349.822,0.99,216.0,0.99,False,11.0
Sulawesi Selatan,Maros,2019,353.1,1.1,218.0,0.94,False,14.0
Sulawesi Selatan,Maros,2020,391.8,2.01,242.0,10.96,False,14.0
Sulawesi Selatan,Maros,2021,396.9,0.98,245.0,1.3,False,22.0
Sulawesi Selatan,Maros,2023,407.9,1.48,283.0,2.77,False,51.0
Sulawesi Selatan,Maros,2024,413.6,1.46,287.0,1.4,False,105.0
Sulawesi Selatan,Maros,2025,419.2,1.43,290.0,1.35,False,
Sulawesi Selatan,Maros,2026,424.6,1.41,294.0,1.29,False,
Sulawesi Selatan,Pangkajene Dan Kepulauan,2010,306.7,1.17,276.0,,False,
Sulawesi Selatan,Pangkajene Dan Kepulauan,2016,326.7,93.63,4.0,6.52,False,1.0
Sulawesi Selatan,Pangkajene Dan Kepulauan,2017,329.8,0.95,296.0,0.95,False,6.0
Sulawesi Selatan,Pangkajene Dan Kepulauan,2018,332.674,0.87,299.0,0.87,False,11.0
Sulawesi Selatan,Pangkajene Dan Kepulauan,2019,335.5,1.0,302.0,0.85,False,14.0
Sulawesi Selatan,Pangkajene Dan Kepulauan,2020,345.8,1.2,311.0,3.07,False,14.0
