    provinsi,tahun,kategori,satuan,nilai,Sumber
Kep. Bangka Belitung,2022,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Kep. Bangka Belitung,2022,Ekspor Non-Migas,Juta USD,5268788.699999999,data/raw/eksporimpor/
Kep. Bangka Belitung,2023,Ekspor Migas,Juta USD,72715.4,data/raw/eksporimpor/
Kep. Bangka Belitung,2023,Ekspor Non-Migas,Juta USD,3996674.0,data/raw/eksporimpor/
Kep. Bangka Belitung,2024,Ekspor Migas,Juta USD,119291.4,data/raw/eksporimpor/
Kep. Bangka Belitung,2024,Ekspor Non-Migas,Juta USD,3283030.7,data/raw/eksporimpor/
Kep. Bangka Belitung,2025,Ekspor Migas,Juta USD,43195.8,data/raw/eksporimpor/
Kep. Bangka Belitung,2025,Ekspor Non-Migas,Juta USD,4030300.1,data/raw/eksporimpor/
Kep. Bangka Belitung,2026,Ekspor Migas,Juta USD,15314.4,data/raw/eksporimpor/
Kep. Bangka Belitung,2026,Ekspor Non-Migas,Juta USD,1120313.4,data/raw/eksporimpor/
Kep. Riau,2022,Ekspor Migas,Juta USD,5652268.6,data/raw/eksporimpor/
Kep. Riau,2022,Ekspor Non-Migas,Juta USD,31726803.8,data/raw/eksporimpor/
Kep. Riau,2023,Ekspor Migas,Juta USD,6688785.8,data/raw/eksporimpor/
Kep. Riau,2023,Ekspor Non-Migas,Juta USD,30116801.8,data/raw/eksporimpor/
Kep. Riau,2024,Ekspor Migas,Juta USD,4973187.2,data/raw/eksporimpor/
Kep. Riau,2024,Ekspor Non-Migas,Juta USD,33677811.400000006,data/raw/eksporimpor/
Kep. Riau,2025,Ekspor Migas,Juta USD,5466702.199999999,data/raw/eksporimpor/
Kep. Riau,2025,Ekspor Non-Migas,Juta USD,41361673.3,data/raw/eksporimpor/
Kep. Riau,2026,Ekspor Migas,Juta USD,1947869.4,data/raw/eksporimpor/
Kep. Riau,2026,Ekspor Non-Migas,Juta USD,9778222.4,data/raw/eksporimpor/
Lampung,2022,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Lampung,2022,Ekspor Non-Migas,Juta USD,11202200.2,data/raw/eksporimpor/
Lampung,2023,Ekspor Migas,Juta USD,174614.0,data/raw/eksporimpor/
Lampung,2023,Ekspor Non-Migas,Juta USD,9116304.6,data/raw/eksporimpor/
Lampung,2024,Ekspor Migas,Juta USD,208354.2,data/raw/eksporimpor/
Lampung,2024,Ekspor Non-Migas,Juta USD,10968178.9,data/raw/eksporimpor/
Lampung,2025,Ekspor Non-Migas,Juta USD,13275447.8,data/raw/eksporimpor/
Lampung,2026,Ekspor Non-Migas,Juta USD,2761737.0,data/raw/eksporimpor/
Maluku,2022,Ekspor Migas,Juta USD,85770.9,data/raw/eksporimpor/
Maluku,2022,Ekspor Non-Migas,Juta USD,173078.8,data/raw/eksporimpor/
Maluku,2023,Ekspor Migas,Juta USD,57781.0,data/raw/eksporimpor/
Maluku,2023,Ekspor Non-Migas,Juta USD,185685.8,data/raw/eksporimpor/
Maluku,2024,Ekspor Migas,Juta USD,46580.7,data/raw/eksporimpor/
Maluku,2024,Ekspor Non-Migas,Juta USD,143468.5,data/raw/eksporimpor/
Maluku,2025,Ekspor Migas,Juta USD,19932.8,data/raw/eksporimpor/
Maluku,2025,Ekspor Non-Migas,Juta USD,156125.4,data/raw/eksporimpor/
Maluku,2026,Ekspor Non-Migas,Juta USD,40225.6,data/raw/eksporimpor/
Maluku Utara,2022,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Maluku Utara,2022,Ekspor Non-Migas,Juta USD,16400488.2,data/raw/eksporimpor/
Maluku Utara,2023,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Maluku Utara,2023,Ekspor Non-Migas,Juta USD,20400296.6,data/raw/eksporimpor/
Maluku Utara,2024,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Maluku Utara,2024,Ekspor Non-Migas,Juta USD,22154258.1,data/raw/eksporimpor/
Maluku Utara,2025,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Maluku Utara,2025,Ekspor Non-Migas,Juta USD,29519882.8,data/raw/eksporimpor/
Maluku Utara,2026,Ekspor Non-Migas,Juta USD,8100801.4,data/raw/eksporimpor/
Nusa Tenggara Barat,2022,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Nusa Tenggara Barat,2022,Ekspor Non-Migas,Juta USD,6199503.9,data/raw/eksporimpor/
Nusa Tenggara Barat,2023,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Nusa Tenggara Barat,2023,Ekspor Non-Migas,Juta USD,4100698.4,data/raw/eksporimpor/
Nusa Tenggara Barat,2024,Ekspor Migas,Juta USD,0.0,data/raw/eksporimpor/
Nusa Tenggara Barat,2024,Ekspor Non-Migas,Juta USD,5127426.300000001,data/raw/eksporimpor/
Nusa Tenggara Barat,2025,Ekspor Non-Migas,Juta USD,3394291.7,data/raw/eksporimpor/
Nusa Tenggara Barat,2026,Ekspor Non-Migas,Juta USD,1415834.6,data/raw/eksporimpor/
Nusa Tenggara Timur,2022,Ekspor Migas,Juta USD,3852.5,data/raw/eksporimpor/
Nusa Tenggara Timur,2022,Ekspor Non-Migas,Juta USD,129418.9,data/raw/eksporimpor/
Nusa Tenggara Timur,2023,Ekspor Migas,Juta USD,4336.8,data/raw/eksporimpor/
Nusa Tenggara Timur,2023,Ekspor Non-Migas,Juta USD,143793.3,data/raw/eksporimpor/
Nusa Tenggara Timur,2024,Ekspor Migas,Juta USD,5015.299999999999,data/raw/eksporimpor/
Nusa Tenggara Timur,2024,Ekspor Non-Migas,Juta USD,164598.4,data/raw/eksporimpor/
Nusa Tenggara Timur,2025,Ekspor Migas,Juta USD,4579.0,data/raw/eksporimpor/
Nusa Tenggara Timur,2025,Ekspor Non-Migas,Juta USD,148694.9,data/raw/eksporimpor/
Nusa Tenggara Timur,2026,Ekspor Migas,Juta USD,1497.6,data/raw/eksporimpor/
Nusa Tenggara Timur,2026,Ekspor Non-Migas,Juta USD,26867.7,data/raw/eksporimpor/
Papua,2022,Ekspor Migas,Juta USD,4.9,data/raw/eksporimpor/
Papua,2022,Ekspor Non-Migas,Juta USD,12647034.8,data/raw/eksporimpor/
Papua,2023,Ekspor Migas,Juta USD,21.200000000000003,data/raw/eksporimpor/
Papua,2023,Ekspor Non-Migas,Juta USD,12811386.1,data/raw/eksporimpor/
Papua,2024,Ekspor Migas,Juta USD,26.2,data/raw/eksporimpor/
Papua,2024,Ekspor Non-Migas,Juta USD,179124.6,data/raw/eksporimpor/
Papua,2025,Ekspor Migas,Juta USD,99.5,data/raw/eksporimpor/
Papua,2025,Ekspor Non-Migas,Juta USD,186936.2,data/raw/eksporimpor/
Papua,2026,Ekspor Migas,Juta USD,64.1,data/raw/eksporimpor/
Papua,2026,Ekspor Non-Migas,Juta USD,29195.2,data/raw/eksporimpor/
Papua Barat,2022,Ekspor Migas,Juta USD,5370795.4,data/raw/eksporimpor/
Papua Barat,2022,Ekspor Non-Migas,Juta USD,89373.6,data/raw/eksporimpor/
Papua Barat,2023,Ekspor Migas,Juta USD,6053291.6,data/raw/eksporimpor/
Papua Barat,2023,Ekspor Non-Migas,Juta USD,104152.4,data/raw/eksporimpor/
Papua Barat,2024,Ekspor Migas,Juta USD,7194027.1,data/raw/eksporimpor/
Papua Barat,2024,Ekspor Non-Migas,Juta USD,58732.7,data/raw/eksporimpor/
Papua Barat,2025,Ekspor Migas,Juta USD,6493076.0,data/raw/eksporimpor/
Papua Barat,2025,Ekspor Non-Migas,Juta USD,67726.3,data/raw/eksporimpor/
Papua Barat,2026,Ekspor Migas,Juta USD,1440508.3,data/raw/eksporimpor/
Papua Barat,2026,Ekspor Non-Migas,Juta USD,12780.9,data/raw/eksporimpor/
Papua Barat Daya,2024,Ekspor Migas,Juta USD,55807.2,data/raw/eksporimpor/
Papua Barat Daya,2024,Ekspor Non-Migas,Juta USD,45575.7,data/raw/eksporimpor/
Papua Barat Daya,2025,Ekspor Migas,Juta USD,568643.4,data/raw/eksporimpor/
Papua Barat Daya,2025,Ekspor Non-Migas,Juta USD,58107.6,data/raw/eksporimpor/
Papua Barat Daya,2026,Ekspor Non-Migas,Juta USD,8596.0,data/raw/eksporimpor/
