province,year,driver,area_ha,co2_emissions_mg,is_primary
Sulawesi Selatan,2001,Forestry,129.8836176092144,90985.26413530794,
Sulawesi Selatan,2001,Shifting agriculture,1540.1138713405333,1186278.98084357,
Sulawesi Selatan,2001,Unknown,400.9397214670639,247897.74928898225,
Sulawesi Selatan,2002,Commodity driven deforestation,8113.759106836529,5441597.052014205,
Sulawesi Selatan,2002,Forestry,335.7213808791697,227835.17607784955,
Sulawesi Selatan,2002,Shifting agriculture,2834.8768450255147,2172055.3037816086,
Sulawesi Selatan,2002,Unknown,1443.224518650534,672989.5225148139,
Sulawesi Selatan,2003,Commodity driven deforestation,4048.4227433117135,2811692.4966557105,
Sulawesi Selatan,2003,Forestry,161.99804175358764,110298.8920286812,
Sulawesi Selatan,2003,Shifting agriculture,1324.4574331751012,1028272.3144811516,
Sulawesi Selatan,2003,Unknown,448.9035639915327,244232.63972076884,
Sulawesi Selatan,2004,Commodity driven deforestation,12918.457296888351,8409776.01386629,
Sulawesi Selatan,2004,Forestry,440.59067606564184,316862.181021139,
Sulawesi Selatan,2004,Shifting agriculture,3427.6847515706754,2615572.62564424,
Sulawesi Selatan,2004,Unknown,1045.4124024229761,626288.7240251545,
Sulawesi Selatan,2005,Commodity driven deforestation,5791.100662052584,3801013.04835032,
Sulawesi Selatan,2005,Forestry,331.2447391908909,242188.72895560053,
Sulawesi Selatan,2005,Shifting agriculture,1885.6408198282816,1430898.9089299478,
Sulawesi Selatan,2005,Unknown,564.761284389982,288478.4291053992,
Sulawesi Selatan,2006,Commodity driven deforestation,10245.491871124666,6472414.942723977,
Sulawesi Selatan,2006,Forestry,273.35084518907775,189392.90034317225,
Sulawesi Selatan,2006,Shifting agriculture,2891.328734443331,2139319.2645984567,
Sulawesi Selatan,2006,Unknown,480.68933983822967,286208.4566233789,
Sulawesi Selatan,2007,Commodity driven deforestation,7124.037503174721,4381320.520147037,
Sulawesi Selatan,2007,Forestry,304.0925503572621,220222.84788874097,
Sulawesi Selatan,2007,Shifting agriculture,1505.025439438746,1130488.3064426067,
Sulawesi Selatan,2007,Unknown,592.1205121943833,402453.8226118756,
Sulawesi Selatan,2008,Commodity driven deforestation,7117.501626911931,4086935.030494205,
Sulawesi Selatan,2008,Forestry,106.04011549125175,72919.6488609519,
Sulawesi Selatan,2008,Shifting agriculture,767.2824338402597,551273.9293672249,
Sulawesi Selatan,2008,Unknown,136.02550093907647,79290.0752108579,
Sulawesi Selatan,2009,Commodity driven deforestation,20516.28508174287,12230900.369241703,
Sulawesi Selatan,2009,Forestry,136.6953431586111,95937.4746075446,
Sulawesi Selatan,2009,Shifting agriculture,2220.09400862487,1560037.2883259056,
Sulawesi Selatan,2009,Unknown,506.25360070350223,296974.0344344645,
Sulawesi Selatan,2010,Commodity driven deforestation,7455.848934654829,4545653.524179748,
Sulawesi Selatan,2010,Forestry,46.309471701213376,32631.66904324896,
Sulawesi Selatan,2010,Shifting agriculture,615.8146656855639,448317.50715817086,
Sulawesi Selatan,2010,Unknown,281.72795699679864,181220.24621701404,
Sulawesi Selatan,2011,Commodity driven deforestation,12993.153194591412,8064092.85741752,
Sulawesi Selatan,2011,Forestry,89.10230087188914,65848.14821615252,
Sulawesi Selatan,2011,Shifting agriculture,1034.1704526628605,723122.3766740287,
Sulawesi Selatan,2011,Unknown,273.862387874596,165912.96716117812,
Sulawesi Selatan,2012,Commodity driven deforestation,14443.99808579406,9393252.694599004,
Sulawesi Selatan,2012,Forestry,131.7185032503026,89108.59672555744,
Sulawesi Selatan,2012,Shifting agriculture,1056.6181374300663,775173.3227136834,
Sulawesi Selatan,2012,Unknown,497.85636596729785,332077.01026815723,
Sulawesi Selatan,2013,Commodity driven deforestation,7740.702297989371,4846552.044160934,
Sulawesi Selatan,2013,Forestry,86.66480544525581,58025.90495654408,
Sulawesi Selatan,2013,Shifting agriculture,907.9638518219856,567099.5760154057,
