provinsi,kabupaten,tahun,jumlah_penduduk_rb,kepadatan_per_km2,laju_pertumbuhan_sumber_pct,laju_pertumbuhan_yoy_pct,anomali_pertumbuhan_flag,is_smelter,iup_kumulatif,pct_miskin,dbd_kasus,dbd_meninggal,pmdn_nilai_juta_rp
Sulawesi Selatan,Pangkajene Dan Kepulauan,2018,332.674,299.0,0.87,0.87,False,False,11.0,15.1,0,0,3275.9
Sulawesi Selatan,Pangkajene Dan Kepulauan,2019,335.5,302.0,1.0,0.85,False,False,14.0,14.06,0,0,5672.6
Sulawesi Selatan,Pangkajene Dan Kepulauan,2020,345.8,311.0,1.2,3.07,False,False,14.0,13.96,0,0,9142.0
Sulawesi Selatan,Pangkajene Dan Kepulauan,2021,348.2,308.0,0.53,0.69,False,False,22.0,14.28,0,0,12075.4
Sulawesi Selatan,Pangkajene Dan Kepulauan,2023,355.6,400.0,1.03,2.13,False,False,51.0,13.4,0,0,11468.3
Sulawesi Selatan,Pangkajene Dan Kepulauan,2024,359.2,404.0,1.02,1.01,False,False,105.0,12.41,0,0,
Sulawesi Selatan,Pinrang,2016,369.6,4.0,94.24,4.94,False,False,1.0,8.48,1,0,3334.6
Sulawesi Selatan,Pinrang,2017,372.2,190.0,0.74,0.7,False,False,6.0,8.46,6,0,1969.4
Sulawesi Selatan,Pinrang,2018,374.583,191.0,0.63,0.64,False,False,11.0,8.81,1,0,3275.9
Sulawesi Selatan,Pinrang,2019,377.1,192.0,0.76,0.67,False,False,14.0,8.46,0,0,5672.6
Sulawesi Selatan,Pinrang,2020,404.0,206.0,1.37,7.13,False,False,14.0,8.86,0,0,9142.0
Sulawesi Selatan,Pinrang,2021,407.4,208.0,0.63,0.84,False,False,22.0,8.81,0,0,12075.4
Sulawesi Selatan,Pinrang,2023,419.3,221.0,1.36,2.92,False,False,51.0,8.9,0,0,11468.3
Sulawesi Selatan,Pinrang,2024,424.7,224.0,1.34,1.29,False,False,105.0,8.55,0,0,
Sulawesi Selatan,Sidenreng Rappang,2016,293.0,3.0,95.7,7.4,False,False,1.0,5.45,0,0,3334.6
Sulawesi Selatan,Sidenreng Rappang,2017,296.1,157.0,1.09,1.06,False,False,6.0,5.32,0,0,1969.4
Sulawesi Selatan,Sidenreng Rappang,2018,299.123,159.0,1.01,1.02,False,False,11.0,5.16,0,0,3275.9
Sulawesi Selatan,Sidenreng Rappang,2019,302.0,160.0,1.13,0.96,False,False,14.0,4.79,0,0,5672.6
Sulawesi Selatan,Sidenreng Rappang,2020,320.0,170.0,1.59,5.96,False,False,14.0,5.05,0,0,9142.0
Sulawesi Selatan,Sidenreng Rappang,2021,323.2,172.0,0.75,1.0,False,False,22.0,5.04,0,0,12075.4
Sulawesi Selatan,Sidenreng Rappang,2023,327.9,179.0,0.89,1.45,False,False,51.0,5.14,0,0,11468.3
Sulawesi Selatan,Sidenreng Rappang,2024,330.7,181.0,0.89,0.85,False,False,105.0,5.02,0,0,
Sulawesi Selatan,Sinjai,2016,239.7,3.0,93.72,4.4,False,False,1.0,9.41,286,0,3334.6
Sulawesi Selatan,Sinjai,2017,241.2,294.0,0.65,0.63,False,False,6.0,9.24,3,0,1969.4
Sulawesi Selatan,Sinjai,2018,242.672,296.0,0.61,0.61,False,False,11.0,9.28,41,0,3275.9
Sulawesi Selatan,Sinjai,2019,244.1,298.0,0.68,0.59,False,False,14.0,9.14,0,0,5672.6
Sulawesi Selatan,Sinjai,2020,259.5,316.0,1.22,6.31,False,False,14.0,9.0,0,0,9142.0
Sulawesi Selatan,Sinjai,2021,261.4,327.0,0.55,0.73,False,False,22.0,8.84,0,0,12075.4
Sulawesi Selatan,Sinjai,2023,267.5,309.0,1.12,2.33,False,False,51.0,8.55,0,0,11468.3
Sulawesi Selatan,Sinjai,2024,270.4,313.0,1.11,1.08,False,False,105.0,7.82,0,0,
Sulawesi Selatan,Soppeng,2016,226.3,3.0,88.87,0.76,False,False,1.0,8.45,38,0,3334.6
Sulawesi Selatan,Soppeng,2017,226.5,167.0,0.08,0.09,False,False,6.0,8.29,1,0,1969.4
Sulawesi Selatan,Soppeng,2018,226.77,167.0,0.13,0.12,False,False,11.0,7.5,35,0,3275.9
Sulawesi Selatan,Soppeng,2019,227.0,167.0,0.12,0.1,False,False,14.0,7.25,0,0,5672.6
Sulawesi Selatan,Soppeng,2020,235.2,173.0,0.48,3.61,False,False,14.0,7.59,0,0,9142.0
Sulawesi Selatan,Soppeng,2021,235.6,151.0,0.13,0.17,False,False,22.0,7.53,0,0,12075.4
Sulawesi Selatan,Soppeng,2023,238.2,172.0,0.47,1.1,False,False,51.0,7.48,0,0,11468.3
