wilayah,wilayah_val,turvar_label,tahun,nilai,var_id,var_name
Sulawesi Tengah,7200,Harga Berlaku,2017,45157.28,288,PDRB Per Kapita
Sulawesi Tengah,7200,Harga Konstan 2010,2016,31151.08,288,PDRB Per Kapita
Sulawesi Tengah,7200,Harga Konstan 2010,2017,32860.48,288,PDRB Per Kapita
Sulawesi Selatan,7300,Harga Berlaku,2016,43817.39,288,PDRB Per Kapita
Sulawesi Selatan,7300,Harga Berlaku,2017,47822.11,288,PDRB Per Kapita
Sulawesi Selatan,7300,Harga Konstan 2010,2016,31302.53,288,PDRB Per Kapita
Sulawesi Selatan,7300,Harga Konstan 2010,2017,33234.11,288,PDRB Per Kapita
Sulawesi Tenggara,7400,Harga Berlaku,2016,38022.13,288,PDRB Per Kapita
Sulawesi Tenggara,7400,Harga Berlaku,2017,41278.78,288,PDRB Per Kapita
Sulawesi Tenggara,7400,Harga Konstan 2010,2016,30476.39,288,PDRB Per Kapita
Sulawesi Tenggara,7400,Harga Konstan 2010,2017,31894.42,288,PDRB Per Kapita
Gorontalo,7500,Harga Berlaku,2016,27544.77,288,PDRB Per Kapita
Gorontalo,7500,Harga Berlaku,2017,29565.12,288,PDRB Per Kapita
Gorontalo,7500,Harga Konstan 2010,2016,20427.46,288,PDRB Per Kapita
Gorontalo,7500,Harga Konstan 2010,2017,21477.78,288,PDRB Per Kapita
Sulawesi Barat,7600,Harga Berlaku,2016,27513.06,288,PDRB Per Kapita
Sulawesi Barat,7600,Harga Berlaku,2017,29675.86,288,PDRB Per Kapita
Sulawesi Barat,7600,Harga Konstan 2010,2016,21067.91,288,PDRB Per Kapita
Sulawesi Barat,7600,Harga Konstan 2010,2017,22001.01,288,PDRB Per Kapita
Sulawesi Utara,7100,Harga Berlaku,2018,48105.41,288,PDRB Per Kapita
Sulawesi Utara,7100,Harga Berlaku,2019,52173.02,288,PDRB Per Kapita
Sulawesi Utara,7100,Harga Konstan 2010,2018,33911.61,288,PDRB Per Kapita
Sulawesi Utara,7100,Harga Konstan 2010,2019,35687.44,288,PDRB Per Kapita
Sulawesi Tengah,7200,Harga Berlaku,2018,55518.66,288,PDRB Per Kapita
Sulawesi Tengah,7200,Harga Berlaku,2019,61056.03,288,PDRB Per Kapita
Sulawesi Tengah,7200,Harga Konstan 2010,2018,39049.35,288,PDRB Per Kapita
Sulawesi Tengah,7200,Harga Konstan 2010,2019,42054.5,288,PDRB Per Kapita
Sulawesi Selatan,7300,Harga Berlaku,2018,52642.08,288,PDRB Per Kapita
Sulawesi Selatan,7300,Harga Berlaku,2019,57182.14,288,PDRB Per Kapita
Sulawesi Selatan,7300,Harga Konstan 2010,2018,35243.64,288,PDRB Per Kapita
Sulawesi Selatan,7300,Harga Konstan 2010,2019,37474.29,288,PDRB Per Kapita
Sulawesi Tenggara,7400,Harga Berlaku,2018,44492.09,288,PDRB Per Kapita
Sulawesi Tenggara,7400,Harga Berlaku,2019,48514.15,288,PDRB Per Kapita
Sulawesi Tenggara,7400,Harga Konstan 2010,2018,33278.66,288,PDRB Per Kapita
Sulawesi Tenggara,7400,Harga Konstan 2010,2019,35309.9,288,PDRB Per Kapita
Gorontalo,7500,Harga Berlaku,2018,31827.62,288,PDRB Per Kapita
Gorontalo,7500,Harga Berlaku,2019,34976.65,288,PDRB Per Kapita
Gorontalo,7500,Harga Konstan 2010,2018,22538.55,288,PDRB Per Kapita
Gorontalo,7500,Harga Konstan 2010,2019,24167.56,288,PDRB Per Kapita
Sulawesi Barat,7600,Harga Berlaku,2018,32059.09,288,PDRB Per Kapita
Sulawesi Barat,7600,Harga Berlaku,2019,34111.83,288,PDRB Per Kapita
Sulawesi Barat,7600,Harga Konstan 2010,2018,22953.08,288,PDRB Per Kapita
Sulawesi Barat,7600,Harga Konstan 2010,2019,24163.56,288,PDRB Per Kapita
Sulawesi Utara,7100,Harga Berlaku,2020,50521.13,288,PDRB Per Kapita
Sulawesi Utara,7100,Harga Berlaku,2021,54034.12,288,PDRB Per Kapita
Sulawesi Utara,7100,Harga Konstan 2010,2020,33670.44,288,PDRB Per Kapita
Sulawesi Utara,7100,Harga Konstan 2010,2021,34776.43,288,PDRB Per Kapita
Sulawesi Tengah,7200,Harga Berlaku,2020,66306.27,288,PDRB Per Kapita
