umd_tree_cover_loss__year,is__umd_regional_primary_forest_2001,area__ha,province,year
2001,false,3695.73866,Gorontalo,2001.0
2001,true,515.56639,Gorontalo,2001.0
2002,false,5474.758110000001,Gorontalo,2002.0
2002,true,3458.80276,Gorontalo,2002.0
2003,false,1323.91787,Gorontalo,2003.0
2003,true,1998.64673,Gorontalo,2003.0
2004,false,4294.77112,Gorontalo,2004.0
2004,true,3086.24411,Gorontalo,2004.0
2005,false,2332.81868,Gorontalo,2005.0
2005,true,2555.06149,Gorontalo,2005.0
2006,false,3227.02097,Gorontalo,2006.0
2006,true,2414.82312,Gorontalo,2006.0
2007,false,2680.99138,Gorontalo,2007.0
2007,true,2029.72534,Gorontalo,2007.0
2008,false,1223.98939,Gorontalo,2008.0
2008,true,743.3479600000001,Gorontalo,2008.0
2009,false,8279.140800000001,Gorontalo,2009.0
2009,true,3268.4847499999996,Gorontalo,2009.0
2010,false,1205.91148,Gorontalo,2010.0
2010,true,525.64386,Gorontalo,2010.0
2011,false,2199.58069,Gorontalo,2011.0
2011,true,1110.5217,Gorontalo,2011.0
2012,false,2553.1383100000003,Gorontalo,2012.0
2012,true,1105.98299,Gorontalo,2012.0
2013,false,2519.8288199999997,Gorontalo,2013.0
2013,true,1146.21594,Gorontalo,2013.0
2014,false,6411.19346,Gorontalo,2014.0
2014,true,3909.67333,Gorontalo,2014.0
2015,false,10664.50079,Gorontalo,2015.0
2015,true,7856.1178899999995,Gorontalo,2015.0
2016,false,9756.83624,Gorontalo,2016.0
2016,true,5923.85937,Gorontalo,2016.0
2017,false,8744.31985,Gorontalo,2017.0
2017,true,3158.70957,Gorontalo,2017.0
2018,false,8303.52674,Gorontalo,2018.0
2018,true,3232.25202,Gorontalo,2018.0
2019,false,13372.57057,Gorontalo,2019.0
2019,true,3204.86592,Gorontalo,2019.0
2020,false,3086.78261,Gorontalo,2020.0
2020,true,1475.77225,Gorontalo,2020.0
2021,false,2756.84166,Gorontalo,2021.0
2021,true,681.19075,Gorontalo,2021.0
2022,false,3464.8030799999997,Gorontalo,2022.0
2022,true,711.19237,Gorontalo,2022.0
2023,false,10077.69977,Gorontalo,2023.0
2023,true,1397.99881,Gorontalo,2023.0
2024,false,3493.11231,Gorontalo,2024.0
2024,true,1727.55513,Gorontalo,2024.0
2025,false,2989.46963,Gorontalo,2025.0
2025,true,2520.13653,Gorontalo,2025.0
null,false,2068326.1170299998,Gorontalo,
null,true,701503.30941,Gorontalo,
2001,false,12912.87882,Sulawesi Barat,2001.0
2001,true,5700.7116,Sulawesi Barat,2001.0
2002,false,9578.402689999999,Sulawesi Barat,2002.0
2002,true,7469.81398,Sulawesi Barat,2002.0
2003,false,3727.2917899999998,Sulawesi Barat,2003.0
2003,true,4645.41589,Sulawesi Barat,2003.0
2004,false,11402.68044,Sulawesi Barat,2004.0
2004,true,9692.13102,Sulawesi Barat,2004.0
2005,false,5615.22148,Sulawesi Barat,2005.0
2005,true,6367.69567,Sulawesi Barat,2005.0
2006,false,7514.2112,Sulawesi Barat,2006.0
2006,true,7711.27088,Sulawesi Barat,2006.0
2007,false,2787.14305,Sulawesi Barat,2007.0
2007,true,3127.48536,Sulawesi Barat,2007.0
2008,false,8770.52678,Sulawesi Barat,2008.0
2008,true,6311.88695,Sulawesi Barat,2008.0
2009,false,10591.75154,Sulawesi Barat,2009.0
2009,true,6851.38201,Sulawesi Barat,2009.0
2010,false,5082.75976,Sulawesi Barat,2010.0
2010,true,3805.2283,Sulawesi Barat,2010.0
2011,false,11510.16221,Sulawesi Barat,2011.0
2011,true,5075.66072,Sulawesi Barat,2011.0
2012,false,10141.37449,Sulawesi Barat,2012.0
2012,true,6383.0186300000005,Sulawesi Barat,2012.0
2013,false,7362.950339999999,Sulawesi Barat,2013.0
2013,true,3986.09683,Sulawesi Barat,2013.0
2014,false,15070.48529,Sulawesi Barat,2014.0
2014,true,5813.61954,Sulawesi Barat,2014.0
2015,false,17268.96616,Sulawesi Barat,2015.0
2015,true,6373.0323499999995,Sulawesi Barat,2015.0
2016,false,15946.264299999999,Sulawesi Barat,2016.0
2016,true,6919.94355,Sulawesi Barat,2016.0
2017,false,14538.76539,Sulawesi Barat,2017.0
2017,true,5088.2705000000005,Sulawesi Barat,2017.0
2018,false,15440.53952,Sulawesi Barat,2018.0
2018,true,6300.74971,Sulawesi Barat,2018.0
2019,false,18527.70313,Sulawesi Barat,2019.0
2019,true,5962.03707,Sulawesi Barat,2019.0
2020,false,9800.1605,Sulawesi Barat,2020.0
2020,true,3335.56427,Sulawesi Barat,2020.0
2021,false,8936.24465,Sulawesi Barat,2021.0
2021,true,4569.18636,Sulawesi Barat,2021.0
2022,false,10611.72553,Sulawesi Barat,2022.0
2022,true,3962.13487,Sulawesi Barat,2022.0
2023,false,21631.5251,Sulawesi Barat,2023.0
2023,true,5508.92428,Sulawesi Barat,2023.0
2024,false,7245.57514,Sulawesi Barat,2024.0
2024,true,4999.99893,Sulawesi Barat,2024.0
2025,false,9502.83613,Sulawesi Barat,2025.0
2025,true,6735.39591,Sulawesi Barat,2025.0
null,false,3650636.09527,Sulawesi Barat,
null,true,1470276.90261,Sulawesi Barat,
