tahun,provinsi,jenis,jumlah
2021,Sulawesi Tengah,Puskesmas,0.0
2021,Sulawesi Selatan,Puskesmas,0.0
2021,Sulawesi Tenggara,Puskesmas,0.0
2021,Gorontalo,Puskesmas,0.0
2021,Sulawesi Barat,Puskesmas,0.0
2021,Sulawesi Utara,Puskesmas,0.0
2021,Sulawesi Tengah,Puskesmas,1.0
2021,Sulawesi Selatan,Puskesmas,2.0
2021,Sulawesi Tenggara,Puskesmas,4.0
2021,Gorontalo,Puskesmas,0.0
2021,Sulawesi Barat,Puskesmas,0.0
2021,Sulawesi Utara,Puskesmas,3.0
2021,Sulawesi Tengah,Puskesmas,8.0
2021,Sulawesi Selatan,Puskesmas,6.0
2021,Sulawesi Tenggara,Puskesmas,8.0
2021,Gorontalo,Puskesmas,3.0
2021,Sulawesi Barat,Puskesmas,2.0
2021,Sulawesi Utara,Puskesmas,399.0
2021,Sulawesi Tengah,Puskesmas,1.062
2021,Sulawesi Selatan,Puskesmas,1.384
2021,Sulawesi Tenggara,Puskesmas,982.0
2021,Gorontalo,Puskesmas,292.0
2021,Sulawesi Barat,Puskesmas,495.0
2021,Sulawesi Utara,Puskesmas,92.0
2021,Sulawesi Tengah,Puskesmas,297.0
2021,Sulawesi Selatan,Puskesmas,348.0
2021,Sulawesi Tenggara,Puskesmas,292.0
2021,Gorontalo,Puskesmas,66.0
2021,Sulawesi Barat,Puskesmas,81.0
2021,Sulawesi Utara,Puskesmas,34.0
2021,Sulawesi Tengah,Puskesmas,43.0
2021,Sulawesi Selatan,Puskesmas,78.0
2021,Sulawesi Tenggara,Puskesmas,44.0
2021,Gorontalo,Puskesmas,24.0
2021,Sulawesi Barat,Puskesmas,25.0
2021,Sulawesi Utara,Puskesmas,34.0
2021,Sulawesi Tengah,Puskesmas,52.0
2021,Sulawesi Selatan,Puskesmas,52.0
2021,Sulawesi Tenggara,Puskesmas,59.0
2021,Gorontalo,Puskesmas,8.0
2021,Sulawesi Barat,Puskesmas,19.0
2021,Sulawesi Utara,Puskesmas,19.0
2021,Sulawesi Tengah,Puskesmas,64.0
2021,Sulawesi Selatan,Puskesmas,88.0
2021,Sulawesi Tenggara,Puskesmas,109.0
2021,Gorontalo,Puskesmas,24.0
2021,Sulawesi Barat,Puskesmas,38.0
2021,Sulawesi Utara,Puskesmas,0.0
2021,Sulawesi Tengah,Puskesmas,1.0
2021,Sulawesi Selatan,Puskesmas,1.0
2021,Sulawesi Tenggara,Puskesmas,0.0
2021,Gorontalo,Puskesmas,0.0
2021,Sulawesi Barat,Puskesmas,0.0
2021,Sulawesi Utara,Puskesmas,155.0
2021,Sulawesi Tengah,Puskesmas,42.0
