provinsi,tahun,indikator,nilai,satuan,Sumber
Jawa Barat,2018,Investasi PMDN - Nilai (Juta Rp),42278.2,Juta Rp,data/raw/bps_pmdn/
Jawa Barat,2019,Investasi PMDN - Nilai (Juta Rp),49284.2,Juta Rp,data/raw/bps_pmdn/
Jawa Tengah,2018,Investasi PMDN - Nilai (Juta Rp),27474.9,Juta Rp,data/raw/bps_pmdn/
Jawa Tengah,2019,Investasi PMDN - Nilai (Juta Rp),18654.7,Juta Rp,data/raw/bps_pmdn/
Di Yogyakarta,2018,Investasi PMDN - Nilai (Juta Rp),6131.7,Juta Rp,data/raw/bps_pmdn/
Di Yogyakarta,2019,Investasi PMDN - Nilai (Juta Rp),6298.8,Juta Rp,data/raw/bps_pmdn/
Jawa Timur,2018,Investasi PMDN - Nilai (Juta Rp),33333.1,Juta Rp,data/raw/bps_pmdn/
Jawa Timur,2019,Investasi PMDN - Nilai (Juta Rp),45452.7,Juta Rp,data/raw/bps_pmdn/
Banten,2018,Investasi PMDN - Nilai (Juta Rp),18637.6,Juta Rp,data/raw/bps_pmdn/
Banten,2019,Investasi PMDN - Nilai (Juta Rp),20708.4,Juta Rp,data/raw/bps_pmdn/
Bali,2018,Investasi PMDN - Nilai (Juta Rp),1548.8,Juta Rp,data/raw/bps_pmdn/
Bali,2019,Investasi PMDN - Nilai (Juta Rp),7393.2,Juta Rp,data/raw/bps_pmdn/
Nusa Tenggara Barat,2018,Investasi PMDN - Nilai (Juta Rp),4135.1,Juta Rp,data/raw/bps_pmdn/
Nusa Tenggara Barat,2019,Investasi PMDN - Nilai (Juta Rp),3519.0,Juta Rp,data/raw/bps_pmdn/
Nusa Tenggara Timur,2018,Investasi PMDN - Nilai (Juta Rp),4246.1,Juta Rp,data/raw/bps_pmdn/
Nusa Tenggara Timur,2019,Investasi PMDN - Nilai (Juta Rp),3752.6,Juta Rp,data/raw/bps_pmdn/
Kalimantan Barat,2018,Investasi PMDN - Nilai (Juta Rp),6591.4,Juta Rp,data/raw/bps_pmdn/
Kalimantan Barat,2019,Investasi PMDN - Nilai (Juta Rp),7699.1,Juta Rp,data/raw/bps_pmdn/
Kalimantan Tengah,2018,Investasi PMDN - Nilai (Juta Rp),13091.6,Juta Rp,data/raw/bps_pmdn/
Kalimantan Tengah,2019,Investasi PMDN - Nilai (Juta Rp),8591.9,Juta Rp,data/raw/bps_pmdn/
Kalimantan Selatan,2018,Investasi PMDN - Nilai (Juta Rp),9975.2,Juta Rp,data/raw/bps_pmdn/
Kalimantan Selatan,2019,Investasi PMDN - Nilai (Juta Rp),10061.0,Juta Rp,data/raw/bps_pmdn/
Kalimantan Timur,2018,Investasi PMDN - Nilai (Juta Rp),25942.0,Juta Rp,data/raw/bps_pmdn/
Kalimantan Timur,2019,Investasi PMDN - Nilai (Juta Rp),21952.0,Juta Rp,data/raw/bps_pmdn/
Kalimantan Utara,2018,Investasi PMDN - Nilai (Juta Rp),1356.8,Juta Rp,data/raw/bps_pmdn/
Kalimantan Utara,2019,Investasi PMDN - Nilai (Juta Rp),4400.9,Juta Rp,data/raw/bps_pmdn/
Sulawesi Utara,2018,Investasi PMDN - Nilai (Juta Rp),4320.1,Juta Rp,data/raw/bps_pmdn/
Sulawesi Utara,2019,Investasi PMDN - Nilai (Juta Rp),8259.6,Juta Rp,data/raw/bps_pmdn/
Sulawesi Tengah,2018,Investasi PMDN - Nilai (Juta Rp),8488.9,Juta Rp,data/raw/bps_pmdn/
Sulawesi Tengah,2019,Investasi PMDN - Nilai (Juta Rp),4438.8,Juta Rp,data/raw/bps_pmdn/
Sulawesi Selatan,2018,Investasi PMDN - Nilai (Juta Rp),3275.9,Juta Rp,data/raw/bps_pmdn/
Sulawesi Selatan,2019,Investasi PMDN - Nilai (Juta Rp),5672.6,Juta Rp,data/raw/bps_pmdn/
Sulawesi Tenggara,2018,Investasi PMDN - Nilai (Juta Rp),1603.4,Juta Rp,data/raw/bps_pmdn/
Sulawesi Tenggara,2019,Investasi PMDN - Nilai (Juta Rp),3827.1,Juta Rp,data/raw/bps_pmdn/
Gorontalo,2018,Investasi PMDN - Nilai (Juta Rp),2666.8,Juta Rp,data/raw/bps_pmdn/
Gorontalo,2019,Investasi PMDN - Nilai (Juta Rp),844.4,Juta Rp,data/raw/bps_pmdn/
Sulawesi Barat,2018,Investasi PMDN - Nilai (Juta Rp),3144.2,Juta Rp,data/raw/bps_pmdn/
Sulawesi Barat,2019,Investasi PMDN - Nilai (Juta Rp),1187.2,Juta Rp,data/raw/bps_pmdn/
Maluku,2018,Investasi PMDN - Nilai (Juta Rp),1013.5,Juta Rp,data/raw/bps_pmdn/
Maluku,2019,Investasi PMDN - Nilai (Juta Rp),283.2,Juta Rp,data/raw/bps_pmdn/
Maluku Utara,2018,Investasi PMDN - Nilai (Juta Rp),2276.3,Juta Rp,data/raw/bps_pmdn/
Maluku Utara,2019,Investasi PMDN - Nilai (Juta Rp),682.7,Juta Rp,data/raw/bps_pmdn/
Papua Barat,2018,Investasi PMDN - Nilai (Juta Rp),50.9,Juta Rp,data/raw/bps_pmdn/
Papua Barat,2019,Investasi PMDN - Nilai (Juta Rp),380.2,Juta Rp,data/raw/bps_pmdn/
Papua,2018,Investasi PMDN - Nilai (Juta Rp),104.6,Juta Rp,data/raw/bps_pmdn/
Papua,2019,Investasi PMDN - Nilai (Juta Rp),567.7,Juta Rp,data/raw/bps_pmdn/
Indonesia,2018,Investasi PMDN - Nilai (Juta Rp),328604.9,Juta Rp,data/raw/bps_pmdn/
Indonesia,2019,Investasi PMDN - Nilai (Juta Rp),386498.4,Juta Rp,data/raw/bps_pmdn/
Aceh,2020,Investasi PMDN - Nilai (Juta Rp),8241.1,Juta Rp,data/raw/bps_pmdn/
Aceh,2021,Investasi PMDN - Nilai (Juta Rp),7904.7,Juta Rp,data/raw/bps_pmdn/
Sumatera Utara,2020,Investasi PMDN - Nilai (Juta Rp),18189.5,Juta Rp,data/raw/bps_pmdn/
Sumatera Utara,2021,Investasi PMDN - Nilai (Juta Rp),18484.5,Juta Rp,data/raw/bps_pmdn/
Sumatera Barat,2020,Investasi PMDN - Nilai (Juta Rp),3106.2,Juta Rp,data/raw/bps_pmdn/
Sumatera Barat,2021,Investasi PMDN - Nilai (Juta Rp),4183.7,Juta Rp,data/raw/bps_pmdn/
Riau,2020,Investasi PMDN - Nilai (Juta Rp),34117.8,Juta Rp,data/raw/bps_pmdn/
Riau,2021,Investasi PMDN - Nilai (Juta Rp),24997.8,Juta Rp,data/raw/bps_pmdn/
Jambi,2020,Investasi PMDN - Nilai (Juta Rp),3511.7,Juta Rp,data/raw/bps_pmdn/
Jambi,2021,Investasi PMDN - Nilai (Juta Rp),6204.2,Juta Rp,data/raw/bps_pmdn/
Sumatera Selatan,2020,Investasi PMDN - Nilai (Juta Rp),15824.5,Juta Rp,data/raw/bps_pmdn/
Sumatera Selatan,2021,Investasi PMDN - Nilai (Juta Rp),16266.9,Juta Rp,data/raw/bps_pmdn/
Bengkulu,2020,Investasi PMDN - Nilai (Juta Rp),5399.2,Juta Rp,data/raw/bps_pmdn/
Bengkulu,2021,Investasi PMDN - Nilai (Juta Rp),4923.5,Juta Rp,data/raw/bps_pmdn/
Lampung,2020,Investasi PMDN - Nilai (Juta Rp),7120.5,Juta Rp,data/raw/bps_pmdn/
Lampung,2021,Investasi PMDN - Nilai (Juta Rp),10513.2,Juta Rp,data/raw/bps_pmdn/
