provinsi,tahun,pct_pdrb_pertanian_A,pct_pdrb_pertambangan_B,pct_pdrb_industri_C,pct_pdrb_konstruksi_F,nilai_pertanian_miliar,nilai_pertambangan_miliar,nilai_industri_miliar,nilai_konstruksi_miliar,pct_industri_tambang_BC,agriculture_to_industry_shift_index,Nilai Tambah Pertanian per TK Pertanian,Proporsi Kerja Informal,Proporsi Nilai Tambah Manufaktur ke PDB,delta_pct_pdrb_pertanian_A_from_first,delta_pct_industri_tambang_BC_from_first,delta_agriculture_to_industry_shift_index_from_first
Sulawesi Tengah,2014,34.39,9.58,5.87,13.6,31036.03,8645.75,5296.51,12273.45,15.45,0.449,,,5.96,0.0,0.0,0.0
Sulawesi Tengah,2015,31.28,10.25,9.72,14.26,33643.74,11027.22,10455.73,15341.2,19.97,0.638,50217998.41,,9.81,-3.11,4.52,0.19
Sulawesi Tengah,2016,29.61,11.8,11.87,12.91,35538.28,14165.57,14253.53,15501.06,23.67,0.799,58379028.36,,12.04,-4.78,8.22,0.35
Sulawesi Tengah,2017,28.98,12.83,12.35,12.53,38822.55,17192.25,16541.02,16785.47,25.18,0.869,60753681.79,,12.5,-5.41,9.73,0.42
Sulawesi Tengah,2018,24.96,12.84,20.89,10.95,41722.83,21468.29,34919.67,18300.51,33.73,1.351,70143912.08,66.66,21.38,-9.43,18.28,0.9
Sulawesi Tengah,2019,23.2,13.39,22.42,11.32,43091.99,24863.31,41643.48,21021.92,35.81,1.544,70864028.39,62.97,23.05,-11.19,20.36,1.1
Sulawesi Tengah,2020,21.76,13.4,27.61,10.14,42961.69,26456.48,54517.18,20027.97,41.01,1.885,65727944.0,67.37,27.18,-12.63,25.56,1.44
Sulawesi Tengah,2021,18.8,14.11,33.79,9.72,46500.06,34898.37,83546.53,24031.21,47.9,2.548,73883027.28,67.32,29.11,-15.59,32.45,2.1
Sulawesi Tengah,2022,15.82,15.34,40.32,8.41,51206.64,49643.77,130494.71,27211.37,55.66,3.518,74253846.58,67.87,32.82,-18.57,40.21,3.07
Sulawesi Tengah,2023,15.79,15.3,40.36,8.31,54803.2,53102.28,140088.24,28842.4,55.66,3.525,87184754.0,66.1,36.82,-18.6,40.21,3.08
Sulawesi Tengah,2024,15.8,14.64,41.18,8.32,59567.55,55198.23,155241.98,31345.75,55.82,3.533,,,,-18.59,40.37,3.08
Sulawesi Tenggara,2014,25.69,19.95,5.97,12.32,20197.55,15688.3,4692.25,9685.83,25.92,1.009,,,6.03,0.0,0.0,0.0
Sulawesi Tenggara,2015,24.03,20.89,5.95,13.33,21076.03,18319.43,5223.07,11691.22,26.84,1.117,44406144.72,,6.08,-1.66,0.92,0.11
Sulawesi Tenggara,2016,24.31,19.38,6.11,14.02,23581.14,18797.31,5924.56,13596.27,25.49,1.049,54795443.67,,6.22,-1.38,-0.43,0.04
Sulawesi Tenggara,2017,24.08,20.68,6.14,13.35,25869.14,22213.42,6591.64,14345.87,26.82,1.114,60489782.75,,6.2,-1.61,0.9,0.11
Sulawesi Tenggara,2018,23.96,20.83,6.17,13.49,28293.34,24595.94,7279.08,15925.48,27.0,1.127,66597933.78,63.09,6.22,-1.73,1.08,0.12
Sulawesi Tenggara,2019,23.73,21.04,6.4,13.69,30660.9,27189.79,8273.48,17694.57,27.44,1.156,69038358.48,62.55,6.47,-1.96,1.52,0.15
Sulawesi Tenggara,2020,24.13,19.79,7.25,13.58,31395.38,25748.85,9430.25,17668.26,27.04,1.121,66389333.0,64.59,7.18,-1.56,1.12,0.11
Sulawesi Tenggara,2021,23.61,19.35,7.63,14.51,32924.91,26988.62,10640.86,20244.12,26.98,1.143,74423893.45,62.81,7.34,-2.08,1.06,0.13
