provinsi,tahun,kategori,satuan,nilai
SUMATERA BARAT,2024,Ekspor Migas,Juta USD,0.0
SUMATERA BARAT,2024,Ekspor Non-Migas,Juta USD,4355232.699999999
SUMATERA BARAT,2025,Ekspor Migas,Juta USD,114.6
SUMATERA BARAT,2025,Ekspor Non-Migas,Juta USD,5558875.1
SUMATERA BARAT,2026,Ekspor Non-Migas,Juta USD,1576603.2999999998
SUMATERA SELATAN,2022,Ekspor Migas,Juta USD,872023.7
SUMATERA SELATAN,2022,Ekspor Non-Migas,Juta USD,14294659.1
SUMATERA SELATAN,2023,Ekspor Migas,Juta USD,926296.4
SUMATERA SELATAN,2023,Ekspor Non-Migas,Juta USD,12243579.3
SUMATERA SELATAN,2024,Ekspor Migas,Juta USD,916203.5
SUMATERA SELATAN,2024,Ekspor Non-Migas,Juta USD,12529885.1
SUMATERA SELATAN,2025,Ekspor Migas,Juta USD,771215.4
SUMATERA SELATAN,2025,Ekspor Non-Migas,Juta USD,11897410.5
SUMATERA SELATAN,2026,Ekspor Migas,Juta USD,247030.8
SUMATERA SELATAN,2026,Ekspor Non-Migas,Juta USD,2229317.0
SUMATERA UTARA,2022,Ekspor Migas,Juta USD,2198.4
SUMATERA UTARA,2022,Ekspor Non-Migas,Juta USD,25431761.6
SUMATERA UTARA,2023,Ekspor Migas,Juta USD,30647.1
SUMATERA UTARA,2023,Ekspor Non-Migas,Juta USD,20443983.1
SUMATERA UTARA,2024,Ekspor Migas,Juta USD,2212.9
SUMATERA UTARA,2024,Ekspor Non-Migas,Juta USD,21318989.299999997
SUMATERA UTARA,2025,Ekspor Migas,Juta USD,1823.8
SUMATERA UTARA,2025,Ekspor Non-Migas,Juta USD,25122596.5
SUMATERA UTARA,2026,Ekspor Migas,Juta USD,180.9
SUMATERA UTARA,2026,Ekspor Non-Migas,Juta USD,6025792.3
