,,Dokter Umum,Dokter Gigi,Perawat,Bidan,Tenaga Kefarmasian,Tenaga Kesehatan Masyarakat,Tenaga Kesehatan Lingkungan,Tenaga Gizi,Ahli Teknologi Laboratorium Medik,Jumlah,,,,
(1),(2),(3),(4),(5),(6),(7),(8),(9),(10),(11),(12),(13),(14),,
1,Aceh,722,160,4.157,6.465,469,1.682,589,363,255,14.862,1.433,16.295,,
2,Sumatera Utara,1.232,510,6.700,12.950,550,862,371,504,299,23.978,2.157,26.135,,
3,Sumatera Barat,408,266,2.508,4.671,399,208,260,290,299,9.309,1.395,10.704,,
4,Riau,632,215,3.719,4.788,356,316,163,214,214,10.617,1.296,11.913,,
5,Jambi,332,138,2.878,3.723,269,223,233,134,239,8.169,804,8.973,,
6,Sumatera Selatan,429,117,5.475,6.723,425,740,397,274,216,14.796,1.662,16.458,,
7,Bengkulu,214,69,1.835,2.512,143,433,99,128,107,5.540,638,6.178,,
8,Lampung,398,131,2.044,2.657,156,333,238,122,149,6.228,724,6.952,,
9,Kepulauan Bangka Belitung,169,57,1.085,815,91,78,75,82,83,2.535,608,3.143,,
10,Kepulauan Riau,156,44,731,680,63,54,50,43,47,1.868,435,2.303,,
11,DKI Jakarta,1.329,477,1.763,1.633,669,85,230,211,196,6.593,3.363,9.956,,
12,Jawa Barat,1.901,802,8.727,12.889,976,624,786,728,545,27.978,5.901,33.879,,
13,Jawa Tengah,1.535,629,7.230,12.417,940,514,794,777,719,25.555,7.231,32.786,,
14,DI Yogyakarta,269,138,803,853,165,81,112,137,164,2.722,1.423,4.145,,
15,Jawa Timur,1.716,905,11.403,13.399,944,545,788,837,754,31.291,8.517,39.808,,
16,Banten,376,201,1.899,3.914,182,183,171,224,127,7.277,1.268,8.545,,
17,B a l i,399,271,1.356,2.039,161,97,231,152,94,4.800,1.204,6.004,,
18,Nusa Tenggara Barat,289,108,2.731,2.387,196,127,373,388,177,6.776,1.421,8.197,,
