provinsi,tahun,sektor_kode,sektor_nama,nilai_miliar_rp,pct_dari_total
Gorontalo,2018,Industri,"Kayu, Barang dari Kayu dan Gabus; dan Barang Anyaman dari Bambu, Rotan, dan Sejenisnya",149.84,0.17
Gorontalo,2018,Industri,Kertas dan Barang dari Kertas; Percetakan dan Reproduksi Media Rekaman,27.14,0.03
Gorontalo,2018,Industri,"Kimia, Farmasi, dan Obat Tradisional",0.8,0.0
Gorontalo,2018,Industri,Karet; Barang dari Karet dan Plastik,1.48,0.0
Gorontalo,2018,Industri,Barang Galian bukan Logam,112.9,0.12
Gorontalo,2018,Industri,Logam Dasar,,
Gorontalo,2018,Industri,"Barang Logam; Komputer, Barang Elektronik, Optik; dan Peralatan Listrik",22.4,0.02
Gorontalo,2018,Industri,Mesin dan Perlengkapan,1.29,0.0
Gorontalo,2018,Industri,Alat Angkutan,10.42,0.01
Gorontalo,2018,Industri,Furnitur,152.97,0.17
Gorontalo,2018,Industri,Pengolahan Lainnya; Jasa Reparasi dan Pemasangan Mesin dan Peralatan,2.55,0.0
Gorontalo,2018,J,Informasi dan Komunikasi,1016.32,1.12
Gorontalo,2018,Jasa,Pertanian dan Perburuan,133.43,0.15
Gorontalo,2018,Jasa,Perantara Keuangan,1152.48,1.27
Gorontalo,2018,Jasa,Keuangan Lainnya,417.98,0.46
Gorontalo,2018,Jasa,Penunjang Keuangan,2.56,0.0
Gorontalo,2018,K,Jasa Keuangan dan Asuransi,1600.32,1.76
Gorontalo,2018,L,Real Estat,705.83,0.78
Gorontalo,2018,"M,N",Jasa Perusahaan,35.73,0.04
Gorontalo,2018,O,"Administrasi Pemerintahan, Pertahanan, dan Jaminan Sosial Wajib",2489.27,2.74
Gorontalo,2018,P,Jasa Pendidikan,1627.2,1.79
Gorontalo,2018,Produk,Domestik Bruto,37731.39,41.6
Gorontalo,2018,Q,Jasa Kesehatan dan Kegiatan Sosial,1331.09,1.47
Gorontalo,2018,"R,S,T,U",Jasa Lainnya,570.24,0.63
Gorontalo,2018,Tanaman,Pangan,7912.37,8.72
Gorontalo,2018,Tanaman,Hortikultura,976.24,1.08
Gorontalo,2018,Tanaman,Perkebunan,946.31,1.04
Gorontalo,2019,A,"Pertanian, Kehutanan, dan Perikanan",16018.13,16.21
Gorontalo,2019,Angkutan,Rel,,
Gorontalo,2019,Angkutan,Darat,1573.84,1.59
Gorontalo,2019,Angkutan,Laut,104.55,0.11
